"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT21kT1pVZEpXRFpGVlhwak5VMDVhV3BqY1hKTFRYYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",1,"My experience with their service was very disappointing. I inquired about the price beforehand and agreed to the service. However, after the service was completed, they quoted a different price without informing me beforehand about what additional work was involved and demanded extra payment.","kopkap zaza","107888407406283247539","https://www.google.com/maps/contrib/107888407406283247539/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJT79NSbsp30UhUvTQQrHcGSmgUmMRDPuNKny45n_VxS3C5kg=w36-h36-p-rp-mo-br100",0,0,0,"2 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xOdE5ERkJTazl6WjJsaVpFNXFRM0Y2WjJOWVdVRRAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",1,"The doctor's assistant likes to do the doctor's work, and then when the bracket comes loose, she blames me for it. What kind of nonsense is that? Don't make me use foul language.","อภิรตา บุญคง","102403009048313778757","https://www.google.com/maps/contrib/102403009048313778757/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKA1ncU02YHegP8aeZilxwEubqLofVjNLAD7eyrUN__gT_oDg=w36-h36-p-rp-mo-br100",0,2,0,"2 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21wc1lucHNXa1ZvTXpGaU5sSldiR1JDWDBaNmNsRRAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",2,"I wasn't very impressed. The doctor seemed to rush through and leave quickly.","PLOY PIMPAWEE","110606550727087163572","https://www.google.com/maps/contrib/110606550727087163572/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVrlnWzo4Q6jxFYM2gYyldtZKw0pOyc9YKPJIu9VK5J62wbp7qP=w36-h36-p-rp-mo-br100",0,2,0,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tsTFlVRlBUWE5NWmw5eVdIVlZkRVk0T1ZGV1pFRRAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",1,"The staff used very poor language, the counter staff were terrible, making unpleasant facial expressions that were unsuitable for customer service. They were unwilling to serve customers, giving unclear answers, and speaking in a harsh tone.
We've been there 3-4 times and there's been no improvement. We've already booked an appointment via text message, but when we got to the counter, the staff didn't know and postponed our date. Every time we went, the staff looked displeased. It was the worst experience.","เจษฎา แซ่ย่าง","117084751456570657129","https://www.google.com/maps/contrib/117084751456570657129/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUbW5LjN5GMqMiB97waEUasahHRbOmrOzXl4owaZYkpwefnXvK0=w36-h36-p-rp-mo-br100",0,1,0,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2swMGJIbHBZakJoY0Y5SVNYVlhSMTlVZEZWdVJXYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",2,"The doctor is good, but the scheduling system is terrible. Many times I've had to wait for hours. I was once in the clinic for 3 hours. Isn't that unacceptable? People needing service should not have to waste half a day on dental work like this. I've told them many times, but it's still the same.","涵诗","113828065177927521804","https://www.google.com/maps/contrib/113828065177927521804/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUk4O1G3mTr6syDFgmpZIcpqfu2-HDJ6m-nKDgvg2jNME9ExZM=w36-h36-p-rp-mo-br100",0,5,4,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xCNVVqbFlRMkZXTVVvMlUxWkxPVjh0T1ZCR1NuYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",1,"The scaling process was very forceful.","R","104917526203522583181","https://www.google.com/maps/contrib/104917526203522583181/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUKKuhexQ57oKhIiX7Izt3hkZ3Oj-7x4pwZzC-xOrOoSwhMALI=w36-h36-p-rp-mo-br100",0,5,3,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21SdFVrOUtRWHBwVDNoTU1YTjZjREZOUlc5bGNFRRAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",1,"This clinic is of poor quality, they don't care about their customers, and sometimes use impolite language. Sometimes the braces come loose and they seem too lazy to reattach them, as if they just want to rush home. Evening appointments sometimes involve long waits. Think carefully before considering this clinic. Consider this a warning.","kkk","110096895650872424712","https://www.google.com/maps/contrib/110096895650872424712/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKysIVY9ufPOkegiqABGHDJpuuhad4YsQimvKhK27nQzEFSww=w36-h36-p-rp-mo-br100",0,2,0,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xGT1RFOXRZM0JEWVU5a01USkxUekpJWDJkYVdtYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",5,"The doctor is kind and the staff are lovely. I highly recommend this place.","Alisa Khanu","118358308425772665477","https://www.google.com/maps/contrib/118358308425772665477/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKpd-N5lktIul-E8HTrkqgdmM3Q-SXHoF3haoDV5GRGh8SxTdw=w36-h36-p-rp-mo-br100",0,2,0,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tWUGJGWlVUMVJ3T0VkSldtbzNhVXAwWlVodk9XYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",5,"The clinic is clean. The staff and doctors provide excellent service. ✨👍🏻 …","Christin melody Abrahamsen","115432601282818244330","https://www.google.com/maps/contrib/115432601282818244330/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVa_S6Ju70WthN-kTY0RgFQZiKA04yR6ZiogB-eK8IjASE9wlQf9g=w36-h36-p-rp-mo-br100",0,3,1,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pWeFEzQXpWVVJEV2kwdGVERm9aemcxTkdwM2VuYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",4,"I come here for braces because it's cheap. It's 1,000 baht per month. They have two branches in Chiang Mai, which is convenient. The doctors are friendly and the staff are lovely. If you're interested, this is a good option.","17_วิวิศณา ดียิ่ง","101128304489876883904","https://www.google.com/maps/contrib/101128304489876883904/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWqLREFmLCvsABSK6KqXLTuYc1-FtVh_NBpDmW2V9K9qVj6Y63N=w36-h36-p-rp-mo-br100",0,3,0,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xOMlN6RkhSVzFrYUc1QmRWSTNOVFZJTm1OMVVIYxAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",5,"Today I came to adjust my braces and have my teeth extracted. The dentist has a very gentle hand and gave me excellent advice. The staff were also very friendly. I was impressed from the start when I chose to have my teeth done at this clinic.","ภัทร์ปรียา ลาภิยะ","106241599359857998257","https://www.google.com/maps/contrib/106241599359857998257/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUNwjCDO-ZyEQ8bN8BjzECsXvVFYm0M4yb-vEXNp38ZQN5WLRDA=w36-h36-p-rp-mo-br100",0,1,0,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25oc05GVTRVbVV4TlhORlVFWjJaVzlSVFhSVFdrRRAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",5,"The doctor has a gentle touch and gives excellent advice.
The staff are friendly and speak politely.
The clear braces are affordable and completed quickly.","Namfon Thopunyanont","116309565573861707385","https://www.google.com/maps/contrib/116309565573861707385/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXdJ0dMn5m5Ufrj5ykPQJzf91AH86gp-oHATvSETiAw0yIyep8=w36-h36-p-rp-mo-br100",0,3,2,"7 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pKM1ZHWXhjbDgzU0dzNFpHaGlUMUp6UW1FM1pFRRAB","0x30da2512576cf195:0xcf818e259847ce37","Trust Dental Clinic เซ็นทรัลเฟสติวัลเชียงใหม่",5,"I had my teeth cleaned yesterday. The dentist was very gentle and gave excellent advice. The staff provided great service.","cast tv","118125960695995194079","https://www.google.com/maps/contrib/118125960695995194079/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUzcQ_7HE_4lyFKnj3gCwpIqawi9-DXSOCMTCniAymmxZ4-NV6y=w36-h36-p-rp-mo-br100",0,2,0,"7 months ago","","newest"
