"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xaeE5HTnNSVXN3VldoME5URXRjRFY0VVRGUGJWRRAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",1,"The traditional Thai tea is delicious, but the staff... oh my god, their attitude was awful. It was like I was begging for it. I used a coupon and asked about the menu because I didn't know, and they responded sarcastically. It was like, ""If you want to drink it, order it. If you don't, it's your problem."" Never again.","ชำนาญ เครือคำ","105663493047810944337","https://www.google.com/maps/contrib/105663493047810944337/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXO9-izlwnWXjh5-OidjuY1FWjm_mBuw1oFgY_9ymqvvW5qJR3_=w36-h36-p-rp-mo-br100",0,1,0,"3 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xVNFZHVmpRbWgzVWpKSlQwTkhXRGRwUkZWNVluYxAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",5,"","Chotipat Namthong","111943367193029997568","https://www.google.com/maps/contrib/111943367193029997568/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUsAzDGFzbhYZzS9heRJHaLKOYgB_yBd-ckAvaiAcl4qTe1PFLC=w36-h36-p-rp-mo-ba12-br100",1,16,6,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2t0c1Uyb3lRMkpoYjJsTlNqUTRTRFZ6VDI1cGNuYxAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",5,"","Kanlayanee JaJo","115428860846003652878","https://www.google.com/maps/contrib/115428860846003652878/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLYn9Mr_PH8wnV9HiyVOlzGIdvZy1-evMNkaZwW6PwSaUs8dg=w36-h36-p-rp-mo-br100",0,0,0,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25aTFlqSTRZM2xPTFdzMk5rNDNkelJXTFdGM2JIYxAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",1,"The female employee with long, slightly plump hair at the service counter provided terrible service. We went to inquire about our suspended SIM card, and we asked politely. The employee made a displeased face, checked our number, and said it wasn't suspended and we could top up, but in a harsh tone. We told her we'd already checked, and she then said, ""Just get a new SIM card with the same number,"" and took our phone, turning to another employee and saying, ""It's not suspended, it just has no signal,"" in a very irritated and frustrated manner. It seemed she was upset because the Wi-Fi center was down, and she took it out on us, even though we were asking politely and without knowing the answer. If we knew we could fix the SIM ourselves, we wouldn't have come here.","Mon _593","109324909103885119877","https://www.google.com/maps/contrib/109324909103885119877/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV9wXEnjNgWBlIrahvUkFFRHrxkb06zC4LSx2ynyzoERfouj7mQAg=w36-h36-p-rp-mo-br100",0,5,1,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tWUE1EWlRXVTUzUW05NWVrOXBXVUo0YzE5bGNrRRAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",1,"Extremely rude service from the FRONT DESK staff (the greeter) on April 23. When I asked a simple question about depositing money, she shouted at me ""What do you want?"" in a very aggressive tone. She was constantly playing with her phone and completely ignored me while I was trying to talk. This is very unprofessional and disrespectful. I am a customer who paid over 2,000 THB, but I was treated like a nuisance. True Shop management needs to train their front desk staff better.","Bingyi Li","113757606341531762113","https://www.google.com/maps/contrib/113757606341531762113/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJQypb21M8-Z28hAvhkRcw5022uSjLY2xensAhBvAoSRoafbQ=w36-h36-p-rp-mo-ba12-br100",1,28,27,"a month ago","Extremely rude service from the FRONT DESK staff (the greeter) on April 23. When I asked a simple question about depositing money, she shouted at me ""What do you want?"" in a very aggressive tone. She was constantly playing with her phone and completely ignored me while I was trying to talk. This is very unprofessional and disrespectful. I am a customer who paid over 2,000 THB, but I was treated like a nuisance. True Shop management needs to train their front desk staff better.","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25KQmNra3hORGRpTjNZMVVrUlBUa1ZMWVdsbWJuYxAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",5,"They always provide excellent service! Quick and friendly.","Bia Felix","108671580137537093590","https://www.google.com/maps/contrib/108671580137537093590/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUwEhifBAALYRigXGhwidmf9PPMC6HxTkR9p2qMIPHerkG_sRYqvg=w36-h36-p-rp-mo-ba12-br100",1,16,19,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21ORlQzWTRaa1ZwVHpCbFNsOVZZek5mVkRWa2RrRRAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",1,"Bought internet with YouTube premium. Somehow the can’t activate YouTube premium. After 3 different visits on different days and using 2 different True mob numbers and 2 different gmails they were not able to activate YouTube premium.

Nobody knows what is happening and it was funny to see that all 3 employees did exactly the same actions with the same result…

Why nobody called HQ to figure this out I really don’t understand. Because now you are loosing a paying customer. I decided to cancelYouTube premium.

As a professional company and even registered on the stock exchange here in Thailand I don’t understand that apparently employees rather loose this monthly payment for YouTube.
instead of really trying to fix the problem is a small mystery for me. Unless these employees don’t care as long as they get their monthly salary? Even if they never experienced a problem like this shouldn’t they really really try to find a solution by contacting IT in BKK??

I don’t really have a choice then to have internet from him but if I did I would immediately contact their competitor that’s located across their shop.","stormy seal","117838659355323604600","https://www.google.com/maps/contrib/117838659355323604600/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIWPm0ZLwQteJ_Czz96-ysL9EnjWVTXoz21ONisdY_37NkSqA=w36-h36-p-rp-mo-ba12-br100",1,205,4,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT210dGVsTTFSMDF4WVVadll6a3dORGxuVFhGMGVWRRAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",5,"Excellent and fast service; they solved my problem very quickly. The girls who helped me were fabulous.","Miwy Aguera Parron","115824526920225114380","https://www.google.com/maps/contrib/115824526920225114380/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKtvzo-v_VpW73vgeNQajyC2Qca-2IzNDY5wR_8LMlCEPRZFw=w36-h36-p-rp-mo-ba12-br100",1,96,178,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xkcldpMWhaRFJuT1daSmJrbzVVRzlUY1ZaTVRtYxAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",5,"The staff provided excellent service, were polite, and offered quick advice and solutions. Importantly, the waiting time was short.","สมอุษา นะโว","107072814505088035110","https://www.google.com/maps/contrib/107072814505088035110/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKZPPhJoI0YhQbdUTKu0o997jYMvDg_NapxuLa6wRWw7B6uaQ=w36-h36-p-rp-mo-br100",0,2,2,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21VemFsSm9XWEZTVFdsRFFUZzRiM2wxTWtwTFJYYxAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",2,"Usually I encounter good service from the staff. But today I met one female employee who seemed reluctant to work, even though it wasn't very busy.","Kantapat Muntham","107559355524643545716","https://www.google.com/maps/contrib/107559355524643545716/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXcu4ZOVog6HXFew6dbqeZEvOSU5MJ2g8xw9EbxgUwaMsTnnOYO=w36-h36-p-rp-mo-br100",0,4,5,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tvd04xSnVTbU5MUVd0TWJ6WXpkalJ0VkRrMmFWRRAB","0x30da25342eef4c91:0x7db9b8847e2aed8","TRUE Shop Central Festival Chiang Mai",5,"","สุวิทย์ สุวรรณชื่น","102005408137624663090","https://www.google.com/maps/contrib/102005408137624663090/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVnouKoWlRRGDlBVPpVh1uapWE6lBto11pR5LNR4nr9adgOHHLQ=w36-h36-p-rp-mo-ba12-br100",1,75,2,"5 months ago","","newest"
