"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xCS09UZGhURWw0TTBkbU1VRnZVVWhMVURGbVIxRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"A young but competent doctor who speaks English and Chinese in addition to Thai. Can’t tell you how glad I was to receive treatment from Dr Pear who speaks our language.","Carol Tan","100547921893789184917","https://www.google.com/maps/contrib/100547921893789184917/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX0obNVMz0QDJNtqh3cNaCANwqwnnolIi4l1qD-KtMASEdjws4=w36-h36-p-rp-mo-ba12-br100",1,41,48,"10 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2w5MlZqZFNOMDlDWTBSWlgzb3pVVzFVYXpocFRtYxAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"Doctor Pear very efficient and quick. Prices are reasonable. Knowledgeable and helpful for needed care. Also can get a Medical certificate at reasonable price. Will go again!","Richere L","110645595223469178823","https://www.google.com/maps/contrib/110645595223469178823/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJOUZHaZi8WiGihwECpifagecgLn9bBQgshmqpLNqwOBXyXcw=w36-h36-p-rp-mo-ba12-br100",1,12,12,"11 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNubE9PZklnEAE","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"I walked right in and was greeted by a very friendly assistant who took my symptoms and information and took me back to the doctor. Dr. Pear was very thorough and I was able to communicate well with her. I was given medicine for my bronchitis and it was extremely inexpensive (coming from US). Highly recommended.","Heidi Larson","117133539087227330338","https://www.google.com/maps/contrib/117133539087227330338/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJj_mcbl-w_2ZZIYYPtOR10V8WwtMHiQRvniio41odXX6qDSg=w36-h36-p-rp-mo-ba12-br100",1,19,20,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNqckptVXZBRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"One of the best clinics I’ve ever been to. Dr Pear is absolutely lovely. Went there for a burn blister on my leg - she’s made sure that everything was alright and prescribed me with some antibiotics. There was regular check ups from the doctor in making sure that the blister heal properly. Really recommend this clinic!","Phakwipha Phuknuan","106526934206500878746","https://www.google.com/maps/contrib/106526934206500878746/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ65leB-8y0ZOCTn1bgWFvWWXDEYfaSNWvAgoR47GC59HGC=w36-h36-p-rp-mo-br100",0,9,3,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURBanVpdjJnRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"Very kind & knowledgeable doctor, speaks English fluently. Visited for medical checkup.","Nicholas McGowan","106253099648130476631","https://www.google.com/maps/contrib/106253099648130476631/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIj4Jj7a5zn5uaMeFAiaMzAvRVrgjELXs1BMjC0RUeoShhzzw=w36-h36-p-rp-mo-ba12-br100",1,63,41,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pOQ1UweHBOWFJuWXpkbFkxZzRVR0UwTUV0aE9HYxAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"Thank you for the friendly and efficient service.","Jason Archer","109178120935850574773","https://www.google.com/maps/contrib/109178120935850574773/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU0CjizYTmchLJk8bzgtD8Vs30Yrfze_iJRgZQe1mDzEo4KsJE=w36-h36-p-rp-mo-br100",0,1,0,"a week ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t0T00zbzJXRFI2YlZkemJrRmplVWx2WjB0TFJXYxAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"Highly recommend Dr Pear Clinic! I went there for my driving license medical certificate, and the doctor was incredibly nice and attentive. My husband even asked some questions about his own health, and the doctor was so patient in answering everything. Such professional and heart-warming service!","Diana Leung","108226727480803739931","https://www.google.com/maps/contrib/108226727480803739931/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVIAdXePs8dAMH_rcWqr38wyV0-GVjAVYvaCLEIg0lDpl-tb4k=w36-h36-p-rp-mo-ba12-br100",1,35,11,"2 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT214UE9VVTBlWFJSVWxGSFpWbzRkRWh2TkU0eVJFRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"The service here is excellent. The nurses are lovely, and the doctor is kind and patient. I requested a medical certificate for my job application. The doctor provided advice on the certificate and asked about my health issues. The doctor explained everything. The service fee is also reasonable. I highly recommend it. 🥰 …","Jirachaya Weinglow","103069443452166717605","https://www.google.com/maps/contrib/103069443452166717605/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVwXXkWwCJmj9eLQM6x9g54nZfAIlKyQOUqOw7pST2tg5kVoQ=w36-h36-p-rp-mo-br100",0,2,0,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pWa1EwaDBaV0Z4ZWxCck1uVkVXSGxMWkVSbk9XYxAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"The doctor provided excellent treatment. They were attentive, asked detailed questions, and gave great advice. Even after I returned home, the doctor called to check on my condition and offered further helpful advice. Thank you so much!","Nutsara Kruekit","110189132979676073024","https://www.google.com/maps/contrib/110189132979676073024/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLvaH7MeucPzu_WNjtBK41byKMxvW8ZmIrCvQISqWT5xYMl1w=w36-h36-p-rp-mo-br100",0,3,2,"5 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNucTRYazBBRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"I had a very good experience at Dr. Pear Clinic. The doctor was kind, professional, and took the time to explain the treatment clearly. The service was excellent, and the staff were very friendly. I felt well taken care of, and the treatment worked very well for me. I highly recommend this clinic to anyone looking for good medical care.

The clinic provided excellent service. Dr. Ning was very gentle and explained everything in detail. The clinic offers great service at very affordable prices. It's conveniently located near my home, at the Louis intersection.","Super Man","105171376653494654099","https://www.google.com/maps/contrib/105171376653494654099/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUX1Gg4f4g-wHUnTizoQfmxtFff-_yxBIWl0MFFDO4wz0_r5NMC=w36-h36-p-rp-mo-ba12-br100",1,23,17,"Edited 3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25CU01WVmZlWEpqYnpnd1ptRXdXbmMxY1dGeUxVRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"The clinic is clean, the service is good, and I received a medical certificate for my driver's license very quickly and it wasn't expensive. I'm very impressed.","Icepcrwd Apk","118302643024204180851","https://www.google.com/maps/contrib/118302643024204180851/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXhwMXEWXRPwMSRNe7L8e762th67wo0-32wxli1_fw65ctSrBrn=w36-h36-p-rp-mo-ba12-br100",1,16,25,"9 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT205bE1qSmlkRkZwT0hoYVowcDZTRFF6Y0VaeFRWRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"A good female doctor and a good nurse are working here.
It's a good doctor and a good hospital. Please come and see us.","아름다운인생","108115039113834534221","https://www.google.com/maps/contrib/108115039113834534221/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXnFzImazR2pXoBpSo7x8z1i6XTQGbZgDKanfWrHk6bc1AxNaSL0w=w36-h36-p-rp-mo-ba12-br100",1,94,173,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2podlVVMXRTME5tVjNJeVNFbzBWMkozWVhaNGFWRRAB","0x30da25bf390548bd:0xc74904b2c463433a","หมอแพร คลินิกเวชกรรม Dr.Pear clinic",5,"The doctor is very nice and kind, and a skilled treater. I'm not very polite, by the way.","Techtoy 2J","106538454783634508406","https://www.google.com/maps/contrib/106538454783634508406/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIomLXLZ-SL8zzVjXJCtGhWJPkLPkM3fFy0wj5DLpU6wqD_Dw=w36-h36-p-rp-mo-br100",0,1,0,"5 months ago","","relevant"
