"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xaUVEzTnBXRFJFV21WV2MwaFNURkpzWkdodmVVRRAB","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",4,"The dentist is very gentle and friendly. I came for a teeth cleaning, but be prepared for a short wait. Full service will resume in August 2026.","wichien pi","114613848899339211114","https://www.google.com/maps/contrib/114613848899339211114/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJfjNR30-1iII5OWSe1Kzkyu80cLmVabtM1S_NdY6nrvNL4lXo=w36-h36-p-rp-mo-ba12-br100",1,210,1624,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21ReGFtZE9TMWxsVG1vMWVGZHdkVXQ0VjBSRk9HYxAB","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",1,"I wasn't very impressed with the service.","ae dad","111881486806958409621","https://www.google.com/maps/contrib/111881486806958409621/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX0wKCsf93yQe4IbfFPvm2JzaWwSZEcRtb-JUkeb00bX0dmC9SR=w36-h36-p-rp-mo-ba12-br100",1,4,50,"5 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21vNFNUUmpXVUpxZFZWQmEzTm9TR3czUVhaTU4yYxAB","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",5,"","ใจ ดี","117069356313388854279","https://www.google.com/maps/contrib/117069356313388854279/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWuvg_Vp8Y5fddIPcQnmWZUsga5HmG3uZNmgS8OQiBcutOkYviO=w36-h36-p-rp-mo-br100",0,0,12,"5 months ago","","newest"
"ChdDSUhNMG9nS0VJSGQ0ZUM3cmNXZjZRRRAB","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",3,"There are three dentists, and they are all kind. However, I would like to criticize the equipment: the dental beds are still old-fashioned and not as modern as other hospitals. Furthermore, there are no mouthwash stations for patients. There are no separate rooms for government officials and the general public, as many people go there for dental treatment. They should change the dental beds and equipment to be better. Truly living up to its name, the International Dental Center, would be great.","กีรติยากร","108191935960019304772","https://www.google.com/maps/contrib/108191935960019304772/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWeRaMS4eCAUlE8wll5TxA80-ituvhwYtxP4IbPA3bd49UFw4Y=w36-h36-p-rp-mo-br100",0,8,1,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTUN3dEtmekxnEAE","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",1,"I brought my mother here and was told we needed to book an appointment. We couldn't book by phone; we had to come in person. They told us to get a queue number at 6 am. When we arrived, there was no one there. We waited until 8 am, and as soon as they opened, the queue was full. This is unacceptable service. We live far away and arrived at 5 am. I'm very disappointed.","Chasa Ahgase_","106711797512487904626","https://www.google.com/maps/contrib/106711797512487904626/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW6_uVNZR8lZv8jHPzKs1q-2a5GP34XOEkp-FaHr_Ixih8taUv_=w36-h36-p-rp-mo-br100",0,2,1,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNfbTR2aVRnEAE","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",5,"The staff provided excellent service and were very polite. The doctor was kind; I was very impressed.
However, the queue is very long, so you need to book an appointment.
Walk-ins are limited to 10 people per day, starting to hand out queue numbers at 8 am.
A little secret: go on lottery day! I got queue number 1 and there was nobody else there! 55555555","Preedaporn Thamngam","117991397741318300224","https://www.google.com/maps/contrib/117991397741318300224/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKBvofwl4LEbfmFU7QETXvEg9QWaJREPJePNFZgaUrvodu9kw=w36-h36-p-rp-mo-ba12-br100",1,10,30,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNiaE51X1l3EAE","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",5,"","ประกายแก้ว ธนะพัฒน์","101003564035695915633","https://www.google.com/maps/contrib/101003564035695915633/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJpEQZNEr35XCUdnp7uizqgn8El4vl0OLJSR0chy2fEPyMhmw=w36-h36-p-rp-mo-br100",0,0,2,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNlejk2bHBnRRAB","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",4,"International Dental and Public Health Clinic","Lek Raththaphon","105580435169538508140","https://www.google.com/maps/contrib/105580435169538508140/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXkOwSwSUZtd2cM-qK1ve5FrG0EdAQAZBXJOitGj4RGgpz1KT48zQ=w36-h36-p-rp-mo-ba12-br100",1,841,7569,"3 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNldXRIRUhBEAE","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",5,"Good service, no need to wait long.","nannapat Akkarabowornwong","100561763300932385779","https://www.google.com/maps/contrib/100561763300932385779/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV4NiWHpz6grC8yaKtzjoW92q1U5hj3ZE6RCp32aTomKO2gWyHY=w36-h36-p-rp-mo-br100",0,7,7,"3 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUN1NWZ1Vk5BEAE","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",3,"I can't contact you. Can you give me your number?","บุณยาพร ศรีคําซาว","115737297555054296424","https://www.google.com/maps/contrib/115737297555054296424/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU1tHmqjOMhXLF5wHlu39FDcNVWtr7LHESvZ96IEp5dwvcfqLRk=w36-h36-p-rp-mo-br100",0,2,0,"3 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNHcjhQM0tnEAE","0x30da3019287ffd27:0x50e5b48c11042341","ศูนย์ทันตสาธารณสุขระหว่างประเทศ",5,"","Mansuang Wongspai","111933780958671853343","https://www.google.com/maps/contrib/111933780958671853343/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKDFRetpftExpxkwjd7-ix4Xbmp19EADYTVImrzahuwIo199g=w36-h36-p-rp-mo-br100",0,1,8,"4 years ago","","newest"
