"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2kxM1pqVjNTSE42UmpGTFZYZGZMVFJmVkhvM2VHYxAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",1,"The reception staff were unwelcoming and don't expect good service. The doctor didn't offer much advice, but the medicine was cheap.","Bonita Lee","102831794238959524836","https://www.google.com/maps/contrib/102831794238959524836/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKL18_leo-8N1lWl8Jeh5TWiynQTkPaodhbN2us0NGaZw-wZg=w36-h36-p-rp-mo-br100",0,5,9,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xwaVF6UnZSRk5qTUdFM1gxQnhhbkJ5TWw5VGRIYxAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",1,"The staff member who extracted my pimples pressed too hard, leaving my face bruised and with tons of new acne scars. They didn't remove all the pimples, and when I pointed out the ones they didn't, they got annoyed and seemed in a hurry to finish the case, even though there weren't many customers. The service quality has dropped significantly. The price is cheap, but I definitely won't be going back.","Kittail","104735673502344953950","https://www.google.com/maps/contrib/104735673502344953950/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWWRpdMAnkCmB-1FQ0iu__sFpayx06e0Hr67p3D6LNorLCgO4Op=w36-h36-p-rp-mo-br100",0,7,7,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xFMVZtSkpXa1ZqUjFacWRVWlNkWFUwWVhaRFRYYxAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",2,"The receptionist looked like she didn't want to provide service. The price was cheap, but the staff member who extracted the pimples wasn't thorough at all; she pressed too hard and too quickly, as if just trying to get it over with. She didn't even check for bleeding. The staff member also had a bad expression when I paid. Sigh.","The Wit Game Tv (Kamol252)","105744158985840167336","https://www.google.com/maps/contrib/105744158985840167336/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVdpGVASc5vEcjHj_WqpNeSrsNhGhcaR2ZDzFbvhlh2Dw9lncP1=w36-h36-p-rp-mo-ba12-br100",1,11,45,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t0V2NqVXpUVXhoZDFGRFVIUTVWVXgyWWpWVWVYYxAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",2,"I used to get rid of my acne at this clinic, but recently the staff at this clinic haven't been very thorough with their acne extraction. They're rushing to get it done, as if they're just trying to get it done. They don't even wipe the acne after they've been extracted. The acne is still on my face. They should retrain their staff at this clinic. If they do this, the quality of the clinic will drop.","Aon Aon","105990691520466429876","https://www.google.com/maps/contrib/105990691520466429876/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVc76mYsCxQO_xp9ImcWX7FJ-NIaIQcIkjxhPTUTwuhuIhbE8Jg=w36-h36-p-rp-mo-br100",0,5,0,"7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2toT2NXbERTa2hFUVhoNE4yUkljbTlpTnpSalkxRRAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",3,"Lately, I have to see a doctor every time. I just wanted to get my pimples extracted, but I have to see a doctor first. Now the cost has increased.","Rattakan Mano","110822390579204481589","https://www.google.com/maps/contrib/110822390579204481589/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVf42LYWOZ2nwLOa6SCf3nV0W84gRSTRfSF8sY2SzUqRhx5t_Ns=w36-h36-p-rp-mo-br100",0,10,2,"7 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUQ4Z19hM2J3EAE","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",3,"The service was good, but the pimple extraction was very rough and not thorough at all; a lot came out. When I got home and looked in the mirror, I was able to extract a lot more myself.","อะซือมา เบียผะ","113820659723188378837","https://www.google.com/maps/contrib/113820659723188378837/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJAih1apzQ2Uw-Bl8MVLsf4wbpwvVTAUdGcHdr7KGLLVDAO_w=w36-h36-p-rp-mo-br100",0,5,0,"5 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNDX2JmYnRRRRAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",5,"Very affordable and effective! I've had acne for 7 years 😭 and it finally cleared up here. Absolutely amazing! 👍👍👍😆","As Well","112577772350422536196","https://www.google.com/maps/contrib/112577772350422536196/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVcvdGh_tYlt0DpCMZBHURihzeWItNS3X991cth7l_t7RHBCFxH=w36-h36-p-rp-mo-br100",0,11,12,"5 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURfelp5UDVnRRAB","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",5,"Affordable prices, good service, skilled doctors, fast queue management.","hatsakit puckdee","118148736383620590008","https://www.google.com/maps/contrib/118148736383620590008/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWWIc_lV20M5RFEycFukqUSZxDpDcxgBPXfH6ZRsy7B2vx9TGmy=w36-h36-p-rp-mo-ba12-br100",1,49,96,"Edited a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNKcTdxSllREAE","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",5,"My skin has improved and my acne is completely gone thanks to this clinic!","Wannli","104094213471467547095","https://www.google.com/maps/contrib/104094213471467547095/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXSttitVICTaxETifa9T-jCxGlFJwDCO_FuScFtTdZk_4NfrGSm=w36-h36-p-rp-mo-ba12-br100",1,17,10,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJYUxpNmZrdWFpV2FREAE","0x30da3a8e19611237:0x49459e393eaa9a61","Phanwat Clinic",5,"Good service, cheap price, very kind doctor.","Aobchery Suwan","100024728468907376593","https://www.google.com/maps/contrib/100024728468907376593/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVjv-DPBSWPsl3risgNcjXR8oNaNKaET3KnsZ8AXX9X_AOrNrtg=w36-h36-p-rp-mo-br100",0,4,18,"a year ago","","relevant"
