"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2pFMFNIcHdPR3RIWkhVemRGZGFNV2hVZFZSa2VYYxAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"","ปนัดดา ใจมาตุ่น","113144953772520600893","https://www.google.com/maps/contrib/113144953772520600893/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXpHDU7BZTK5m-yzy_u1wIKDEzqzRbGXgwdIlZ2mFhbJaOBwY-X=w36-h36-p-rp-mo-br100",0,0,0,"4 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pKemNWVkZNWGhvV25SV1VYWkxhWGhKWTNNd1oyYxAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"","Sarannittha Phattanadechasin","112382000159745714720","https://www.google.com/maps/contrib/112382000159745714720/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVGW932vr7GatBiu3nyiq4wM60_Wq0zLYzebprHnaOuuqevWS4=w36-h36-p-rp-mo-br100",0,0,0,"6 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pKb2NHUlZMVkZZUzJGV01FaG9jalpaYTBOZlpsRRAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"The staff provided excellent service. They were very lovely.","cakee pvn.I","114963662992638780377","https://www.google.com/maps/contrib/114963662992638780377/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWPFU0hCcyNBfly6VVm0vdyiTg2d_tIlaFQuSem7L21_RGRp2Uu=w36-h36-p-rp-mo-br100",0,2,0,"Edited a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xwclFWcFBkVjg0VUV4V1lYWklUa0ZvVGxsclFXYxAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"The doctor was very kind and spoke nicely, asking questions throughout the conversation.","Panfon Yuentham","104409573801086499591","https://www.google.com/maps/contrib/104409573801086499591/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXKgO7e23rcYSRlMAX-WmdrhhCyUUxD15j1R9F1R9EQ2mMVDfQ=w36-h36-p-rp-mo-br100",0,1,0,"a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21KM09GbFFVbVpUWlZaWFRHd3pSRmhUTWxsQmRuYxAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"The doctor was very gentle. 🤩 …","Aun","116092699778335893099","https://www.google.com/maps/contrib/116092699778335893099/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWb-iyzDs84iYCnxBGE1pYn8blF7rNedprAxCiBugipzTr9_Es=w36-h36-p-rp-mo-br100",0,1,2,"a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT213eVZraG5jalJDY0ZkMVZtcFhXRkZDVnpsVlpFRRAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"","37 ธนภูมิ","111399427380949595725","https://www.google.com/maps/contrib/111399427380949595725/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU3seNCGj8KMWbpr1gwoOlfPNYCC8IrHZvKk9TfVB3LL-QmeFTX=w36-h36-p-rp-mo-br100",0,2,0,"a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21aVE1sRTBSMGw0VVhJdE5HWnBha3B5YWtkWlNtYxAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"Easy to get to, clean clinic, wide selection of rubber band colors.","สุภัสสร คําหล้า","111249021901651648283","https://www.google.com/maps/contrib/111249021901651648283/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWUwH2F3hUDcMNCR-mEeXvJRB5OY8Oaw0qwbfY2Vj0qW7OdgUcN=w36-h36-p-rp-mo-br100",0,1,0,"a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT210a1F6aEljaTB3YjBOTWFVSnVVRXd6WmpRMGNrRRAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"The doctor is kind and a specialist, so you can be confident in their expertise. The staff provides excellent service, the place is beautiful, and there's parking available. Appointments can be scheduled conveniently and quickly. You can be assured of clear and noticeable tooth movement and straightening each month of treatment.","อรุณรุ่ง นาวิก","102807255442209040988","https://www.google.com/maps/contrib/102807255442209040988/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIoi3dFWf51sYqB-LarTn0Bc4BpVKQ2cmi4a9N1R2sPY9sDzA=w36-h36-p-rp-mo-br100",0,5,1,"Edited a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tOWlFWRnVOalZKU21wa1UxTkZaVGxCWkZsaGRrRRAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"Excellent service!","ปริศนา สถิตสวัสดิ์พงศ์","108462477894182695438","https://www.google.com/maps/contrib/108462477894182695438/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJozUevOTJnQ3fiRF3CyD_yYkxclIm_bt4U5AZSMRPJQrCbxFQ=w36-h36-p-rp-mo-br100",0,2,1,"a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xkeE5sRlpUMmRTVVc5SVZrUlFiRzFHYkZCR2FXYxAB","0x30da3b005aca09e5:0x37258b6166dd4bc6","Dental Bear Omakase จัดฟัน วีเนียร์ รากฟันเทียม #ทำฟันกับพี่หมี",5,"The staff took such good care of me! 😻 …","Ben","105834785681399052441","https://www.google.com/maps/contrib/105834785681399052441/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXwpmLBOBpd8MDqQwATUofacMG-7W-jea9pKsqenBrqvv8W3rw=w36-h36-p-rp-mo-br100",0,3,0,"a week ago","","newest"
