"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2kxdmFqVjZibkl0U3pKR1JFMXVRbVpJTTJJNVVGRRAB","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"The doctor was very nice, friendly, and gave excellent advice.","terdthiti chitkasame","103683743785717552800","https://www.google.com/maps/contrib/103683743785717552800/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLHJiR4B5lRilbnil-eB9i_EvJW2G3pf0tFENTCMH4S5iUlOA=w36-h36-p-rp-mo-br100",0,8,5,"4 days ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTURRNWYtdEpREAE","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"The doctor is amazing. Felt so good when I left.","Bryan","114656562689835734981","https://www.google.com/maps/contrib/114656562689835734981/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXe5Er2JO2dlZNkvR_F2ttsEWsvMaPZVpqkHgQg94roHMl-69Y=w36-h36-p-rp-mo-ba12-br100",1,115,148,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnTURnellxazJRRRAB","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"Very friendly owner. Speaks English. I had cupping and acupuncture done and was very happy with service.","Gideon Pioneer","112080541113782610183","https://www.google.com/maps/contrib/112080541113782610183/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXABpXqQ113Os2U_og93ylKwP5E9BIGHp0oy4OUUXYIbiQR_sNM=w36-h36-p-rp-mo-ba12-br100",1,23,0,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURibDVuZkR3EAE","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"The doctor was very friendly, gave excellent advice, and treated the problem very effectively. I highly recommend this Traditional Chinese Medicine clinic.","Pongpol","111582291194834560569","https://www.google.com/maps/contrib/111582291194834560569/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKaTQzZvWUR-TW6a27OLkbVtemjIbXATVx_-F5J-izq5SITYw=w36-h36-p-rp-mo-ba12-br100",1,10,9,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUQxcWRpMXdRRRAB","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"I usually don't write reviews but the service I received from Dr Pop was just so exceptional that I wanted to write about it here. I have been to another 5 star rated acupuncture clinic in Chiang Mai and there was a huge difference in outcome of the procedure making Dr Pop the best I have ever worked with. I've been experiencing chronic lower back pain for like 20 years. Dr Pop listened deeply and was really trying to understand my situation and how to help me best. As a result, her treatment was super precise and targeting my deep back muscles instead of just the superficial ones. After the treatment she thoroughly assessed my decline in pain and when I still felt pain in some regions, she immediately targeted this region, too. For the first time in my life I feel an effective relief of back pain by about 60%, no treatment so far has been this effective after only one run. I cannot recommend her highly enough. Thanks so much Dr Pop!","Siobhan Ewert","110981925042721847678","https://www.google.com/maps/contrib/110981925042721847678/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKH_v2jitbfwvqGn0R7MHLctXzYCHrahWTMnR5zBzuVW27DdA=w36-h36-p-rp-mo-ba12-br100",1,17,6,"2 years ago","","newest"
"ChRDSUhNMG9nS0VJQ0FnSUMxak5nVBAB","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"Dr. Pop and her cat are seriously the cutest, sweetest and most knowledgeable ever! I have been going to Dr. Pop off and on for a few months and she has really helped me deal with stress and anxiety, as well as deeper gut imbalances. She is so professional, knowledgeable, empathetic and kind and her clinic is so beautiful and clean. I cannot recommend her more! It is worth every cent!","Kelsey Beth","102707392041287625735","https://www.google.com/maps/contrib/102707392041287625735/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU-jaHMSVxZY0dHXQd7kOCMEwYNInUo7hP7Hnk-8R4d7If7yFd3=w36-h36-p-rp-mo-br100",0,10,0,"2 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNadktpaUJREAE","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"We are in love with Dr. Pop and her cat Miso! :)
My girlfriend and I went there 3 times during our staying in Chiang Mai.
She helped us a lot with several issues and she was always extremely caring and delicate in doing agopunture.
Thank you very much,
you made easier our stay in Chiang Mai!","Val","100631674859600369027","https://www.google.com/maps/contrib/100631674859600369027/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocK57oXQOSCy2KSvNr1bkxrwv3jA6ohDK9pTGE4ziaNadoyvqEI=w36-h36-p-rp-mo-ba12-br100",1,35,2,"2 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNKenN5aHhRRRAB","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"The doctor is lovely and the service is excellent and friendly.
Acupuncture and cupping weren't as scary as I thought. I saw results right away, and it wasn't painful. Highly recommend it!","Eataholic","100702765418457641076","https://www.google.com/maps/contrib/100702765418457641076/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW43TS-KGsKtXqbfILvqev8JinHkjZeZh0KpuKCAg_fzqhKvVqSyg=w36-h36-p-rp-mo-ba12-br100",1,337,878,"2 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURoc19UdU1REAE","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"The best acupuncturist in Chiang Mai!!!

The nicest + most thoughtful acu office I’ve been too 🥹 …","Lexy - Alive To Enjoy","117516660760038899696","https://www.google.com/maps/contrib/117516660760038899696/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXXTpNYf8ddCv6ku4rv5ZZBB4dE5jFHjUKNDxd3KPgD3473roJU=w36-h36-p-rp-mo-ba12-br100",1,76,46,"3 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUMtdExIYTBBRRAB","0x30da3b00ab92bf25:0x3edfe50bf3e08e83","Healing Path Clinic - คลินิกแพทย์แผนจีน",5,"DR Pop has amazing knowledge and personality. I felt way better after 1st visit! She definitely knows what she is doing.","Dawid Lewczuk","104428283013389009705","https://www.google.com/maps/contrib/104428283013389009705/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJISYwB0Affu-dx2YMb0ulddkudG3Mhtp679f2iDTwA9PNglOo=w36-h36-p-rp-mo-ba12-br100",1,67,17,"3 years ago","","newest"
