"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xOcFZIZzNNM1kxVTNWTlF6WkthSGhQTW5sNGNtYxAB","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",4,"This is a place where bottled water manufacturers must have their water products inspected once a year. They also inspect cosmetics and other herbal products here.","JAde Min","107256441625123252841","https://www.google.com/maps/contrib/107256441625123252841/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUCrqOmQoYwZu6eKg0wxDY2RTL7WguWgylqRVOAICnOyDtoFO0=w36-h36-p-rp-mo-ba12-br100",1,433,10738,"4 months ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURQaE9yQnlBRRAB","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",3,"","Jarinya Sukawongnan","113532536310293914011","https://www.google.com/maps/contrib/113532536310293914011/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWbpuBSO2GsdWdtfPdhfpNG-a_1-VgKiJbbwNxapxwUbjZY-lM=w36-h36-p-rp-mo-ba12-br100",1,26,33,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURaX3VXTUlBEAE","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",5,"I had a health checkup on the 5th floor. The service was good, and the doctor explained everything in detail.","จิรัฐิพร บุญพ่วง","113742382661357791451","https://www.google.com/maps/contrib/113742382661357791451/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX773_euXfm3iHIMs1HnLnQAGUr3wnibEqsZV9kB-DNrs7bN0g=w36-h36-p-rp-mo-br100",0,2,0,"2 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNaamNTNHJBRRAB","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",4,"We provide testing services for food and various chemicals.","santirote keatsirirote","113239988776611880193","https://www.google.com/maps/contrib/113239988776611880193/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXrMaRkfWq7iWC1PE6sVZoLVgzIcd0EUa0AXyu6MiojKJ4mWc98vQ=w36-h36-p-rp-mo-ba12-br100",1,1116,7132,"2 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURpZ1kzYzl3RRAB","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",5,"👍👍👍👍👍 …","Aumnat Muangkaew","101624610421743007105","https://www.google.com/maps/contrib/101624610421743007105/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUq21JZRdgorfZa5brzOYL8UFzP09fBwhII0LX_2Q6xvQMEQQM=w36-h36-p-rp-mo-ba12-br100",1,586,2464,"5 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURvdDkzZVNREAE","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",5,"Drinking water , food , cosmetic and etc quality can be test here by Thai gorvernment officers.","Dew Baza","116754565787096748284","https://www.google.com/maps/contrib/116754565787096748284/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocITg3-NVwP9Qp2mr1ptsZcBu2uO83RbH_H8o3TNqL7_Dr6ZDA=w36-h36-p-rp-mo-ba12-br100",1,655,17728,"7 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNRcWMzVVZ3EAE","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",4,"It's shady and pleasant.","Lertwisansinwiroje3 wiroje","111210984341506610423","https://www.google.com/maps/contrib/111210984341506610423/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWN9ZMQkaj5S0y0zbEifCtIHe5YlS9bYcEFJZZROLWr3Al_B_Y=w36-h36-p-rp-mo-br100",0,3,2,"7 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNRMVlqR0h3EAE","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",3,"","คนใต้ อยู่ดอย","102708746879817957316","https://www.google.com/maps/contrib/102708746879817957316/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUp1tRnOys6qV5vaMya8EzeM3yfFLJSHJ77fDH_7vFZ8dftgi-I=w36-h36-p-rp-mo-ba12-br100",1,69,1367,"7 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURBejZEdEp3EAE","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",3,"","มานัส รุ่มรวย","115358166999418662594","https://www.google.com/maps/contrib/115358166999418662594/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjULiMqIKfeYWeziex2adB02UYOpzEw5I8WFxFhn1kWxLZC2pPJH=w36-h36-p-rp-mo-br100",0,0,0,"8 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUN3Z2R2cEdREAE","0x30da3b086d7f402f:0x56ec3555586ab8b7","ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่",4,"Chiang Mai Provincial Health Office 1","หนุมาน คาบแก้ว","104496818559010518377","https://www.google.com/maps/contrib/104496818559010518377/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVZAtWI4-OArrzWNW_zuV8oV1Wgr6blvJPk0FMGy6yINCfCTt1A=w36-h36-p-rp-mo-ba12-br100",1,27,83,"8 years ago","","newest"
