"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2pSUWJqWkZZVWMwYlRSWkxWVjFTV2hEUjJaa05uYxAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"They deserve all 5 stars and more. I had treatment here for my TMJ and also received a facial treatment. The team at Mi-A Clinic is incredibly gentle, friendly, and caring. Great responsive communication through messaging prior to scheduling. From the moment I walked in, they made me feel comfortable and well taken care of.
I’ve had injections done at other clinics before (USA and Japan), and this was by far the most comfortable and gentle experience I’ve had. The staff were attentive, professional, and clearly very skilled at what they do. I highly recommend this clinic if you’re looking for a place where you feel safe, cared for, and in good hands. I will definitely return.","A N","107382249171214059560","https://www.google.com/maps/contrib/107382249171214059560/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWdtI1fZKPxIjIEbR-ymW3dKQ-xUCiksimddrWUlmpmo0aK9aTd=w36-h36-p-rp-mo-ba12-br100",1,144,506,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tKNWN6RnZVa2hQTkVOVVoyazVXVUZRY0V3NWJFRRAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"This was my third Botox treatment for wrinkles, and I’m very happy with the result. 🙏
I had two treatments before in Europe, and this experience was just as very good professionally, and even better on the human part: nice interaction, good and warm communication, explanations and details made me feel very confident and comfortable, endless patience. 🫶

The clinic felt professional and welcoming, the procedure was smooth, and the result for me as a men -  looks natural and refreshed, not frozen, exactly how I wanted. I felt well taken care of from start to finish. 👍

I will be happy to return at anytime.
Enjoy! 💫","Nico Cristian Banu","109336207569027925176","https://www.google.com/maps/contrib/109336207569027925176/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocL7iYWLVoKQjs6YQVUsIHbLqQiyPM1gHHKZQgP1zBOTu6G-_A=w36-h36-p-rp-mo-ba12-br100",1,65,45,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pWUWJrbEhRVGczTlRWSFRETkhkMnB6TW1SYU1YYxAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"여드름 압출+ 염증주사 맞았어요. 진심매우만족
They provide excellent service and acne treatment at a very reasonable price. In my opinion, the quality is just as good as Korea — maybe even better. I’m extremely satisfied with my experience. I made my appointment through Instagram. They are very foreigner-friendly as well. Kokunka!!!!!!!! I normally don’t write reviews, but I’m leaving one for you guys","J. YI","106758756678860911014","https://www.google.com/maps/contrib/106758756678860911014/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX4_v1U8fh4sfl4LSjcBZsILweEG1nFb6kWZg9Z8eSD1iI47bM=w36-h36-p-rp-mo-br100",0,12,8,"Edited 2 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2s1blMyWnFUazg1Y3poTk5FUXhURFp3VGtWQlMwRRAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"I recently visited Mi-A Clinic for Botox and CO2 laser treatment, and honestly I could not be happier with the experience and results.

From the moment I arrived, everyone made me feel genuinely comfortable and welcome. The clinic itself is beautiful, calm, clean and relaxing, which immediately helped me feel at ease.

What stood out most to me was how much time and care the doctor gave during the consultation. Everything was explained in detail, including the procedure itself, what to expect during recovery, and the realistic results. I never felt rushed or pressured, and it was clear they genuinely care about doing what is best for the patient.

The results from both the Botox and CO2 laser have been amazing, and I am very grateful for the professionalism and skill of the team.

I also want to give a special thank you to all of the lovely girls working at the clinic. Everyone was so kind, patient and attentive throughout the whole process, and the aftercare has been exceptional. They regularly checked in with me after the treatment to see how my recovery was going, which made me feel very looked after and cared for.

Thank you again to everyone at Mi-A Clinic for such a positive experience. I truly appreciate all of your kindness and hard work, and I would happily recommend the clinic to anyone considering treatment in Chiang Mai. 🙏😊","Henry Bibbey","113712855703951332677","https://www.google.com/maps/contrib/113712855703951332677/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIXPrspYzqkPJIgr6ppVHSsP7nafm8472XrrK2kRWEBp3agRQ=w36-h36-p-rp-mo-br100",0,6,0,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25Oc1VsVnVaRkJTYkZCalRucHBRVFpCUzBWNWExRRAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",1,"I had under-eye filler at Mi-A Clinic in Chiang Mai about one month ago and am disappointed with both the outcome and the overall experience.

Prior to the treatment, I clearly explained that my goal was to achieve more volume and support under the eyes in order to reduce under-eye exposure. I was informed that this could be achieved with under-eye filler. After the treatment, however, I have not observed any noticeable improvement, and the intended result was not achieved.

Afterwards, the clinic acknowledged that the outcome I had been told to expect was not achievable with under-eye filler. Had this been communicated clearly beforehand, I would not have proceeded with the treatment.

During the consultation, I felt encouraged to make a quick decision, and after initially receiving 1 cc of filler, I was advised to proceed with an additional 1 cc to achieve the desired result. The total cost of the treatment was 37,000 THB.

When I later raised my concerns, the clinic stated that a result had been achieved, based on a single low-quality photo taken in significantly different lighting. This comparison did not accurately reflect my appearance or address the concern I sought to correct.

When I requested a refund, the clinic initially offered 2,000 THB as a goodwill gesture. After I stated that I intended to share my experience so others could make an informed decision and avoid unnecessary expense, the goodwill offer was increased to 5,000 THB. However, the clinic required an in-person visit or a Thai bank account to receive the funds, despite being aware that I am no longer in Chiang Mai and do not have a Thai bank account. As a result, the offer was not practically accessible to me.

Overall, this experience left me feeling that expectations were not communicated clearly and that the outcome did not justify the cost of the treatment. For a procedure in such a sensitive area, I expected transparent guidance and realistic advice.

I am sharing this review to help others make a more informed decision.","Goated guide","113948254614588165621","https://www.google.com/maps/contrib/113948254614588165621/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU44mj657Sp5OQkk0HXHr5obHzTw008FBPSm6kwUqLNL8DfhNg=w36-h36-p-rp-mo-ba12-br100",1,36,6,"4 months ago","I had under-eye filler at Mi-A Clinic in Chiang Mai about one month ago and am disappointed with both the outcome and the overall experience.

Prior to the treatment, I clearly explained that my goal was to achieve more volume and support under the eyes in order to reduce under-eye exposure. I was informed that this could be achieved with under-eye filler. After the treatment, however, I have not observed any noticeable improvement, and the intended result was not achieved.

Afterwards, the clinic acknowledged that the outcome I had been told to expect was not achievable with under-eye filler. Had this been communicated clearly beforehand, I would not have proceeded with the treatment.

During the consultation, I felt encouraged to make a quick decision, and after initially receiving 1 cc of filler, I was advised to proceed with an additional 1 cc to achieve the desired result. The total cost of the treatment was 37,000 THB.

When I later raised my concerns, the clinic stated that a result had been achieved, based on a single low-quality photo taken in significantly different lighting. This comparison did not accurately reflect my appearance or address the concern I sought to correct.

When I requested a refund, the clinic initially offered 2,000 THB as a goodwill gesture. After I stated that I intended to share my experience so others could make an informed decision and avoid unnecessary expense, the goodwill offer was increased to 5,000 THB. However, the clinic required an in-person visit or a Thai bank account to receive the funds, despite being aware that I am no longer in Chiang Mai and do not have a Thai bank account. As a result, the offer was not practically accessible to me.

Overall, this experience left me feeling that expectations were not communicated clearly and that the outcome did not justify the cost of the treatment. For a procedure in such a sensitive area, I expected transparent guidance and realistic advice.

I am sharing this review to help others make a more informed decision.","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25Gak1HYzBMVlJMVkRaTUxWUTVXSEZvV1RVMk5HYxAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"One of the best beauty clinic experiences I’ve had. The Botox procedure was done very gently and professionally, and what stood out to me most is that you can genuinely feel they care more about achieving beautiful, natural results and taking care of their clients.. not just making money.

The team is very attentive, accommodating, and truly in touch throughout the whole process. I really appreciated the personal touch in their service, from consultation to aftercare and post-treatment follow-up. They make you feel comfortable, heard, and genuinely taken care of.

Most importantly, I absolutely love the results ,,very natural, balanced, and beautifully done. You can tell you’re in good hands here. This is the kind of clinic that earns your trust. Honestly, I’d rather book a flight and come here to someone I truly trust than go anywhere else. <3","Raki O.","100069574027222843441","https://www.google.com/maps/contrib/100069574027222843441/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLkui0rY-YRUl8BRvw-sxf5J9H6Lw0cEZaYgkrmP28tKN-uhw=w36-h36-p-rp-mo-ba12-br100",1,14,4,"3 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t4Qk5tbE9abGMyVkd4YVJubGpTRXRHUld0Zk9XYxAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"I had a great experience at Mi-A Clinic. I went in to have some skin tags removed by laser.

The team was very friendly and welcoming, and the doctor who performed the procedure was especially kind, helpful, and professional. They took the time to explain everything clearly and made me feel completely at ease.

What really stood out was their aftercare - they’ve been checking in with me regularly, which I really appreciated. The level of care and attention has been outstanding.

I can definitely recommend this clinic and their services.","Nicki Drab","103030013523205061949","https://www.google.com/maps/contrib/103030013523205061949/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWAg0O0ilMwE9qRJLqq2_D9_MOtRzwITtD4ObI-2vuu3QYQYDKa=w36-h36-p-rp-mo-ba12-br100",1,23,1,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xOSE16RnRjak5KYkdaaVp6Tk9ia1JwYzNFM1NrRRAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"They accommodated a very last minute appointment for removal of 2 x skin tags from the face. Clean clinic, English speaking doctor, really professional service and aftercare. Fairly priced. Excellent overall and we will return next year for more services.","Mango M","105665692985195982716","https://www.google.com/maps/contrib/105665692985195982716/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUe0qFi1tkp9ov6t4-nstI2MLfPs6FctcCN3If4-oyduGH9hiVAoQ=w36-h36-p-rp-mo-ba12-br100",1,140,201,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tWdE9EUkxRbFV6WDBaNVFrMWtZeTF3UzB0clFYYxAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"10 out 5 stars! Great clinic, excellent staff, superb doctor-will definitely be back! Received above and beyond care, excellent results!! - thread lift (nose and cheeks) and botox.

What i appreciate most - how professional everything was, from sign-in to explaining the treatment options, did not felt like i am being sold something, but was presented with options in response to my skin concerns- they listened, and explained options, the processes involved, what they professionally would recommend, the cost it involves. I was not rushed when explaining my concerns, and was given a thorough explanation of the recommended treatments. There was no push to buy services at all-more of information so i can make a decision.

The clinic was very well kept, clean, and trustworthy. The Doctor who did the procedure explained everything-the procedure, what to expect during procedure and the expected results even way before I have committed to the procedure. I felt like I was the only patient as she spent time making sure I know and understand the process. Big thank you doc!

Aftercare was TOP NOTCH. Had to travel the next day to another city, but the clinic was in constant follow-up using whatsapp. 5 day, 7 day, 10 day and even 1 month follow-up ensuring everything was healing perfectly and as intended. This were proactive messages asking how the healing is progressing and if I had any other concerns.

I had nose and cheek thread lift done and botox injections done - excellent results! No adverse effects whatsoever ever just normal healing soreness, very minor not noticeable yellow bruising. Whats great is I had an open line communication anytime with the clinic about concerns i had and they’ve proactively contacted me to make sure healing is as expected and if I had any other concerns even if I was already in another city and eventually another country.

I highly recommend Mi-A if you are ever in Chiang Mai and thinking about skin treatments. If undecided, book a consult and talk to the team. They’re not pushy, or will not try to sell you something on the spot but will go through treatments options so you can make an informed decision just like I did.

Thank You Mi-A team!!!","Bruce B","100743996643148713172","https://www.google.com/maps/contrib/100743996643148713172/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXBcbQXVcvKaqrUCF4_znZ8TUPBnkXl8kqN_gcqwbw9K9NYH90=w36-h36-p-rp-mo-br100",0,7,9,"3 months ago","10 out 5 stars! Great clinic, excellent staff, superb doctor-will definitely be back! Received above and beyond care, excellent results!! - thread lift (nose and cheeks) and botox.

What i appreciate most - how professional everything was, from sign-in to explaining the treatment options, did not felt like i am being sold something, but was presented with options in response to my skin concerns- they listened, and explained options, the processes involved, what they professionally would recommend, the cost it involves. I was not rushed when explaining my concerns, and was given a thorough explanation of the recommended treatments. There was no push to buy services at all-more of information so i can make a decision.

The clinic was very well kept, clean, and trustworthy. The Doctor who did the procedure explained everything-the procedure, what to expect during procedure and the expected results even way before I have committed to the procedure. I felt like I was the only patient as she spent time making sure I know and understand the process. Big thank you doc!

Aftercare was TOP NOTCH. Had to travel the next day to another city, but the clinic was in constant follow-up using whatsapp. 5 day, 7 day, 10 day and even 1 month follow-up ensuring everything was healing perfectly and as intended. This were proactive messages asking how the healing is progressing and if I had any other concerns.

I had nose and cheek thread lift done and botox injections done - excellent results! No adverse effects whatsoever ever just normal healing soreness, very minor not noticeable yellow bruising. Whats great is I had an open line communication anytime with the clinic about concerns i had and they’ve proactively contacted me to make sure healing is as expected and if I had any other concerns even if I was already in another city and eventually another country.

I highly recommend Mi-A if you are ever in Chiang Mai and thinking about skin treatments. If undecided, book a consult and talk to the team. They’re not pushy, or will not try to sell you something on the spot but will go through treatments options so you can make an informed decision just like I did.

Thank You Mi-A team!!!","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT214eGJWVmFkMjFxWWtOU2VGQm1OWFZFUWtWVFkzYxAB","0x30da3b2eb63ce545:0xf0420e6568c90fe2","Mi-A Clinic มีอาคลินิกเวชกรรม 米娅医美诊所",5,"This is genuinely one of the best clinics I’ve been too! As someone from the UK.. I have had all kinds of treatments from the UK and honestly, the quality and care here at Mi-A is very highly rated!

I was a little unsure whether to book filler and Botox as you always hear horror stories about places abroad. But you can really tell the Dr here and all the staff are extremely professional, knowledgeable and careful.

My results look amazing. I had under eye filler, as well as Botox (some of the best Botox I’ve had) and laser hair removal treatment for the private areas.

I really can’t fault this place, I’m sure I will become a regular client every time I visit Chiang Mai now.

Thankyou so much to the wonderful team of lovely ladies here 💜","Kita","110834376004339897839","https://www.google.com/maps/contrib/110834376004339897839/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX-NAuCoiBE8a1Y0EB4lCy-a_GBR8a_Mz0tBkVQD1R11SmoCgI=w36-h36-p-rp-mo-ba12-br100",1,38,15,"5 months ago","","relevant"
