"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2s5WFVqRlVOa2RVUW1scVpXaENNVVkyVWkxSVIwRRAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Thanks so much for doing my first extension. Been dreaming about this since i was a kid.. and finally made it cam true!!! The staff was super accommodating dan attentive. They really did a great job in puting a wavy hair for me. Price is reasonable too, less than 5K. Really recommend others to give it a try!","Anggita Indari","108703969967949177670","https://www.google.com/maps/contrib/108703969967949177670/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXrLMM-_J8fth88GA-ET7CP8hSy9vckde_Jk2rpyx_6xr9mvJW5lQ=w36-h36-p-rp-mo-ba12-br100",1,114,211,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25WWWNrTnJPWHBhYTI5eVIwZDFRV2hrV1hFeWIwRRAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"My first time here!!The best place for hair extensions   Owner is very nice /  the service was so good very nice and friendly girl working there.  Amazing hair extensions  I love my hair","Lily Start zi","117271724412516543262","https://www.google.com/maps/contrib/117271724412516543262/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocL__ojfYlv9_QaFeWRhnkdOto1aLYTGEPVrHyK6hytnDl82DA=w36-h36-p-rp-mo-br100",0,1,2,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pWdExYSk1aa2g0TFVkTVFUUlZPRWxIU214R1ltYxAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Loved my hair!! The staff was extremely accommodating and very helpful with choosing the length and different types of hair.

This Salon has different variety of hair types and also bird feather extensions which I think it’s really nice if you don’t want to use a real human hair.

The owner was very accommodating with prices also. M

Price is very friendly. I highly recommend!!","Nu. XVii","113943339318698447132","https://www.google.com/maps/contrib/113943339318698447132/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJYr8OnInzCRpHaJibyo1QFHDwAXioansyxeEhLev7ZuW2N2w=w36-h36-p-rp-mo-br100",0,7,1,"3 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTUNJMUs2b1ZBEAE","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Excellent quality of hair extension, overall service, and fair price. It’s my first hair extension and I love the final result so much! The owner will clearly explain everything you need to know to you and you can tell she loves her job. - Shout out to all employees there too. They did really good work. 🙌 …","이소이","106892357992618625735","https://www.google.com/maps/contrib/106892357992618625735/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVegCopbbuG2HWB1E98FMPLybWdNSfjDMDDIEFJVEtPjYRM5FKG=w36-h36-p-rp-mo-br100",0,3,11,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUN2MDhXNXlRRRAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"My first time here and definitely not the last one! ⭐️⭐️⭐️⭐️⭐️Thanks Lily and the beautiful staff for my NEW princess hair! Prices and service are perfect! She is the sweetest too! Definitely many years of experience and natural hair. Girls don’t hesitate and come here 100% recommended! 🙌 …","Soraya Koivisto","117856785261268747487","https://www.google.com/maps/contrib/117856785261268747487/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVbbxwhssKRnghadEMgqNMXoOTP_4PUl7W7N9XfszX552zQfkeCSg=w36-h36-p-rp-mo-ba12-br100",1,13,16,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t4dVJrRTJhVlZpU2xSeVUyVlljVm96VFRSbmJVRRAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Absolutely amazing! The best in Thailand. 🙏❤️ I'm from the UK and I am very picky about my hair extensions so I was really nervous to try somewhere new, but these girls are perfectionists and their work is absolutely beautiful.  Very gentle and patient and very well fitted hair. They really listened to everything that I wanted and did exactly as I asked. If you are from the UK and looking to get hair extensions fitted/refitted I would 100% recommend this place. They even did regular checks to make sure I was happy. My little girl came with me and they were so welcoming and sweet to her and even gave her lots of nice snacks.","S","105984583777723827930","https://www.google.com/maps/contrib/105984583777723827930/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI4kJD9qzpDwH2QIlM7GBxd4IiU5QttIk-zW8aiULDalWkAzg=w36-h36-p-rp-mo-br100",0,5,0,"11 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUR3cnFHMUdBEAE","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"The best place for hair extension! Also have lash extension and all kinds of haircare, such as hair cut, hair perm, blow dry and other! Owner is very nice and friendly lady! Like this place very much!!! Also the best price range in city and quality hair provided!","Alia Alima","107695665322886221836","https://www.google.com/maps/contrib/107695665322886221836/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLWTT7mA7he2pdrRWiRMxlXOzTCvhKHJp9VCoiccnt3Ls6R1w=w36-h36-p-rp-mo-ba12-br100",1,133,468,"Edited 7 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25ZemJWaG5aak00YmpWYVNUTnBTVE5OZFRadVUyYxAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Recommend!!! The best hair extension
in Chiang Mai with great service!!!","V W","102843274260737611342","https://www.google.com/maps/contrib/102843274260737611342/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIxYcpRu8pn-vyr49-GnPg4-7-Gw641mK2BjAkTU736efHuFw=w36-h36-p-rp-mo-ba12-br100",1,14,62,"10 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNfdXYzMVVBEAE","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Great service! Had my micro loop extensions taken out and refitted. I was unsure how it would go seeing as I had them put in in England, but the service was so good! Very nice and friendly girls working there. Good English so there was easy communication! My hair looks beautiful and feels nice and secure & neat. Thankyou!! 10/10 rating and very good price","Nikita","111950274294325134197","https://www.google.com/maps/contrib/111950274294325134197/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLj6dWAuID8gbv_gmJ5RjvGNkbfYPc3kzpUzgYPNX-OdcZXzg=w36-h36-p-rp-mo-ba12-br100",1,13,15,"a year ago","","relevant"
"ChdDSUhNMG9nS0VQU1Jyb3VrdXB5QTNBRRAB","0x30da3b67fbb281f3:0x68bd8f7320f68d87","ต่อผมเชียงใหม่ ร้านพี่ก้อยประตูเชียงใหม่",5,"Ok, so I was skeptical but they definitely made me a believer! I love this shop and their techniques are amazing. They work quickly and make sure you are comfortable as they are applying the micro links. I definitely will be a new regular lol! Thank you ladies!

Edit: So I updated the pictures because I went back for highlights lol These ladies are amazing! My new favorite place in Chiang Mai 🥰","Keosha Hudson","105816213243173642922","https://www.google.com/maps/contrib/105816213243173642922/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVOB36j611yFJfXDqyVtEYf6JaRAdAOSDxKOmYDAexX6Vn6eSvH=w36-h36-p-rp-mo-ba12-br100",1,74,18,"Edited a year ago","","relevant"
