"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xsTlZFdGxSbEJQYXpOVlRWOXliRlJYWldwR1pVRRAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"The advice was excellent and they paid attention to every detail.","phonsawan suksuwan","111014465188635403304","https://www.google.com/maps/contrib/111014465188635403304/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKRf2J51ybrU3EZJzyeU0Go7PEkDuoABF_pSsmdydQ3pCAkVGg=w36-h36-p-rp-mo-ba12-br100",1,29,107,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21keWFHbFFjazQ1TVRsc2JIbHNhbWxzWVRsUWJYYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"The clinic is clean, and the doctors are all kind and provide excellent service. ♥️","apeachoon___","114797915286421371553","https://www.google.com/maps/contrib/114797915286421371553/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVRkgjzh9QR2Vr5S_GDHEpI7ZIuyPYefo2wrGa9bIQMc-ihOUzl=w36-h36-p-rp-mo-br100",0,1,0,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xKVVpUQlNUQzFzVjNCUk4weHNNRlEyZFdSR1QwRRAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"The service was excellent.","Kcd Wd","110236136834328814583","https://www.google.com/maps/contrib/110236136834328814583/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIqi2FuD_OsI__JO7WPnuhgqRXZxMqcrBEHnCX0kyCkGHBP4A=w36-h36-p-rp-mo-br100",0,3,2,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pOUlZVMWlRVVZCY1hoRFprTXlXRnBUY21Oa2RtYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"","torzsa -","107997839806493057400","https://www.google.com/maps/contrib/107997839806493057400/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWp5Iigzy-dEbjy4QJlVrQxv2_YX7rMhbJ62jFqN24QIKs-f1Dy=w36-h36-p-rp-mo-br100",0,0,2,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tSc2RFSnlaalZNWDNOUVRsZHFOalZHYUcxU1puYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"I was so scared it would hurt and teared up a little before the surgery. But the doctor and the staff were so kind and didn't pressure me. They said they would start when I was ready. In the end, it didn't hurt at all. When I got home, the anesthetic wore off and it started to hurt, but after taking the medicine the doctor gave me, it was fine. There was no swelling either. 10/10!","Minnie Jung","117987546538945687409","https://www.google.com/maps/contrib/117987546538945687409/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW57alTi-nGnGmY9iFaiI-Zxe2rt7lWCAtnCQh8ZqPZgdlK-lh9kw=w36-h36-p-rp-mo-br100",0,1,0,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xJM1JYZENjMjlVUTFWUVRsRXlTMm80Y2pWSmIyYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"The doctor was gentle, explained everything in detail, the clinic was clean, and the service was excellent! 🫶🏻 …","Tayida Trakuldee","105693553158618282059","https://www.google.com/maps/contrib/105693553158618282059/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUQCo1wDQKd-C1NykqGdf7Qaa_CvlG4r-hSP0jBLQlv9n0ho-Q=w36-h36-p-rp-mo-br100",0,1,0,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25ObFlUZFpSa3N3Tlc1dGMzVlJlbXhJVGpKNE5tYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"The service was very fast. The doctor was very kind.","บอกเล่า 91 channel","111219311726784465149","https://www.google.com/maps/contrib/111219311726784465149/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWE2yZ8wG4aAZvg_yV5zWioemThgjgNTRAiy18-m7j26-YeEaA=w36-h36-p-rp-mo-br100",0,4,0,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2s4M1F6ZGphaTFzUm10eFduVjRhV3hpYXpWTFRuYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"Excellent service, the doctor gave great advice and was very friendly.","Meantiverse","105547999833858667150","https://www.google.com/maps/contrib/105547999833858667150/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWkExcn9ct_AS93dYEmJ06N3F686-XwngPGx3LzP3yGoQxOYhMD=w36-h36-p-rp-mo-br100",0,3,2,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tOVGEwdHVUbGRHWVRaM2NEQk1jR2QwY0UxVk1tYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"The dental clinic is very good. The doctors were patient and explained everything in detail, so I consulted with the dentist. My teeth were not good. They advised me to gradually improve them. They cleaned and filled my teeth. I made another booking.","Sky Si Me","116356689180013473255","https://www.google.com/maps/contrib/116356689180013473255/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWB0DT3QTDeA23cFH0-EHCdGhAn3MejCFCB134ZVsqqZeuzXPzF=w36-h36-p-rp-mo-ba12-br100",1,12,68,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21FM1lUbEtNeTAwT0doUlQyRkJjRlJRWDBjMVEyYxAB","0x30da3bb2188a4ba9:0x1ee49544dba50fbe","Dental House CMU จัดฟันโดยทันตแพทย์เฉพาะทาง หลังมอเชียงใหม่",5,"My first wisdom tooth extraction. The clinic provided excellent care, and the dentist was very gentle; there was no swelling at all.","Supawadee Pongprot","112194788050076900402","https://www.google.com/maps/contrib/112194788050076900402/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIoYIdLaGtYIIN2_dBePvdKjkpML8o5ucXc0YPDvrXBTg73Aw=w36-h36-p-rp-mo-br100",0,3,2,"Edited 4 months ago","","newest"
