"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT21ZNWFUUnphMGMyUVRsaVpuUXhSR0V4UzI1SlRrRRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"I got an acne anti-inflammatory injection for 80 baht, and I also got a 200 baht vitamin C IV.

Thank you for your kindness.

I'll come back often once the anti-inflammatory injections work!","Jei Oh","115645253257580893649","https://www.google.com/maps/contrib/115645253257580893649/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLTvV7zp03Fbxv_Bd6Ywf5moYL1ER1TSHlP-4mHdF0xLS5jyw=w36-h36-p-rp-mo-br100",0,6,5,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21sbWNsZG9kMG95UW5kdk1EWTRhREZEYTFFd1ZsRRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"The doctor is lovely and provides excellent consultations. He takes responsibility for every case with problems. Last time I had a rhinoplasty (nose wing reduction), the wound didn't heal, so the doctor re-stitched it and provided excellent care. I've always had my procedures done here. Dr. Tong does beautiful work, and the prices are reasonable. There's no upsell or pressure to buy courses you're not interested in. All injections are 100% authentic and reasonably priced. The doctor is very precise with the injections. I've been to other places before and experienced upsells and results that didn't match the advertised expectations. Here, everything is exactly as advertised. I highly recommend this clinic; everything is done here.","My jeynes","106514399459747473789","https://www.google.com/maps/contrib/106514399459747473789/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW36SszPVEGuuQPG-96Ir-XgyWtQ8XQUlOq5CyeRtFQX_LK-im5=w36-h36-p-rp-mo-ba12-br100",1,23,30,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xJMVlYSmhaRTFrTTJsV05sTTBlWEU1U21OS1FrRRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",1,"I'm glad I only bought the course once, because the experience I had with the staff at the counter was truly frustrating.

From the moment I walked in, the staff were completely unperturbed. They sat at the counter as usual, but chose not to greet me or make eye contact. Normally, when I go to any clinic, I'd say ""Hello, sir/ma'am,"" but this was completely silent. It made me feel like I was floating around.

When they spoke to me, their tone was extremely curt and without any nuance. They seemed to be just saying things casually, like ""Sign the documents,"" like they were talking to a wall. I could tell they weren't willing to serve me.

In a clear comparison, when another customer walked in (probably someone I knew), they were a completely different person. They spoke so sweetly, ""Hello,"" and it was like... Why did they treat me differently?

If you're looking for a clinic that cares about hospitality and wants a good feeling from the moment you step in, think carefully. For me, it was a one-time visit and I was completely unimpressed with the reception staff. 😔","Pornnicha Wongkaew","111151853554310541177","https://www.google.com/maps/contrib/111151853554310541177/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVyv9md8f7ELZdhyuinxJ7DjWjvRvTRcaPagG6-THNv5BghQq2x=w36-h36-p-rp-mo-br100",0,2,1,"7 months ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURQMHBMZHVnRRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"The clinic is clean, the service is good, the doctor is very kind, and the price is reasonable. I want everyone to come here a lot.","Nattanicha","109233426390271658320","https://www.google.com/maps/contrib/109233426390271658320/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV1bDd-UYP2bn0iat1stKLZRyOvL28Wm-0ig4zuUoA1phfNX1EDkw=w36-h36-p-rp-mo-br100",0,5,0,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURiMDVmRjl3RRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"A very attentive doctor. They don't push sales and always give you honest advice. …","MG Jian","103626080556077949938","https://www.google.com/maps/contrib/103626080556077949938/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWhOIkFw8e8wMSWj-9Y5uu7Z8AoMrOkJ4kKwKrk2e9463Asak-Jyg=w36-h36-p-rp-mo-ba12-br100",1,117,571,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURkNEthQkNnEAE","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",1,"I didn't want to give it even one star, but I have to. I had an appointment at the clinic for lip treatment at 11:00 AM. I arrived at the clinic at 11:08 AM and waited until 12:00 PM with no notification. So I asked the counter staff when the doctor would arrive (because I only took the morning off work, so I didn't mind if it was delayed until the afternoon). The staff said to wait a moment. Then it was 12:40 PM and the doctor still hadn't arrived, so I asked what time I would be able to have the procedure done. The staff said the doctor was busy with a case at the hospital; the patient had a ruptured appendix! (She spoke in a very sarcastic and condescending way. If you go to the clinic, you'll only encounter one person with that kind of attitude.)
I told her, ""It's none of my business to know.""
Initially, I was going to wait until the afternoon, but I felt like my time was worthless.
So I gave up waiting. The clinic is taking advantage of other people's time. It wastes time, work, opportunities, and money. Everything that requires waiting has a cost. We're not just sitting around waiting for customers all day.","Wipada Kanyaleart","105287743083625382156","https://www.google.com/maps/contrib/105287743083625382156/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIEiHLxJOXvzKEhnPvaGMnGuK--C3KxVsP0O4visKbjmOkas-BT=w36-h36-p-rp-mo-br100",0,11,8,"2 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURsbUlHVlZnEAE","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"- I've been using their services since they were located behind Big C. Now they've moved to Santitham, which is even more convenient and closer to home.
- The clinic is clean, and the restroom has hand sanitizer, which is impressive.
- I had lip augmentation done here, and the shape is beautiful and natural.
- I came to have stitches removed from another surgery, and the doctor was very gentle and kind.
- The counter staff are lovely and friendly. They don't push unnecessary enhancement courses. Excellent!!!!!
- There's a vending machine with snacks and drinks, which are free to take. I've only ever taken water, though. They also have soda, but I don't like drinking it.","Me Mimi","108867857514740399216","https://www.google.com/maps/contrib/108867857514740399216/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU2ws7-TnGFyUGJN1ngIFPDeT4H0Aqz4lUr1f6y25uRXUloszM4=w36-h36-p-rp-mo-ba12-br100",1,36,18,"2 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNoNlpIM0N3EAE","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"I heard that a doctor who had studied at a Japanese university hospital had opened a practice in Chiang Mai, so I went to visit. I remember being very surprised when I saw him during his training at a Japanese hospital; he is more dexterous with his hands than most Japanese doctors. I also had the opportunity to observe a surgery he performed, and from a Japanese doctor's perspective, I was very impressed by his surgical skills. I heard that he makes an effort to provide patient-centered counseling, and I sincerely hope that he will be able to help many people in Chiang Mai overcome their health problems.","U O","100740236336235617398","https://www.google.com/maps/contrib/100740236336235617398/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWeCvLcjxwmzcX5g8I5yQXIhpPxNgchHxkZKwlRmwG_ASVCYN0E=w36-h36-p-rp-mo-ba12-br100",1,45,196,"Edited 2 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNaMHBxYWh3RRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"The doctor and staff are very attentive and attentive at all times. The price is better than I expected. They don't sell hard (there are good promotions on the Soyeon Clinic Facebook page).","natdanai thaiwong","105981559784748732844","https://www.google.com/maps/contrib/105981559784748732844/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXK2eFFzSJowhAnB-h5_hGLdqP7-6eSHODwFL_4r9ikXeZ3XyxP=w36-h36-p-rp-mo-ba12-br100",1,136,403,"2 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNoMTRpVy1BRRAB","0x30da3bb6af3a6277:0x180d3a1bd3cc90c3","โซยอนคลินิก Soyeon Clinic",5,"Dr. Tong is very kind, friendly, and good-natured. The staff were very welcoming and attentive.","Thitima Keawjaima","108514935843726993836","https://www.google.com/maps/contrib/108514935843726993836/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVCvnd8rh7gpDLUeUM5b7bDo6W7Je1iteYzkoE19w9cjyYzpvLN=w36-h36-p-rp-mo-ba12-br100",1,1,170,"3 years ago","","newest"
