"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xSNGJIRnNSRWxOTUdwQ05HSkJWbTlxWnpkM1JGRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I highly recommend Pawjai Pet Clinic. The veterinarian is very competent and made a relevant diagnosis for two cats I entrusted to her care, each with very different problems. In both cases, the veterinarian demonstrated competence and administered the appropriate treatments. The veterinarian and her staff are true animal lovers, and the gentleness with which they provide care is remarkable. Everything is done to minimize stress for the pets, and hygiene is impeccable. A telling detail: outside near the entrance, there is a food and water dispenser for stray cats. The veterinarian is even currently vaccinating a beautiful and adorable healthy male cat found on her doorstep and is looking for someone to adopt him. The prices are reasonable compared to other places. And contrary to what another person wrote, the prices for foreigners are not exorbitant. The doctor doesn't overcharge foreigners. I saw Thai people paying prices equivalent to mine.  The entire team at Pawjai Pet Clinic truly deserves the excellent reviews they receive on Google.","R3gos","113084740738187086264","https://www.google.com/maps/contrib/113084740738187086264/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKXOiwCE-UPtonRzYkn8-g5G0GdbJdKJ3TnNpeSdZ8KkLHK6is=w36-h36-p-rp-mo-ba12-br100",1,13,51,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21obk9HdFlOMnhRU1ZJMVpITlhjR2t4VDNoWGEyYxAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",2,"The female doctor was super sweet, that's why I would give her 2 stars but sadly they will overcharge foreigners....we paid 1700 Baht for one parvo test and some generic probiotics that gave my doc explosive diaherra....we went to another clinic and was charged 600 Baht, got antibiotics...my dog is now healthy again...sadly not a good experience","Sonya Hatsumi","104538413878538319690","https://www.google.com/maps/contrib/104538413878538319690/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVQUBTUJw3Hn3-7SaxF-zkSaWT2TMrx_h-KDTYG_KphLsvSsW2A=w36-h36-p-rp-mo-ba12-br100",1,60,59,"5 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNuanQyd0hREAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"You get what you pay for in this case.  While much pricier than other area pet groomers we have tried, Pawjai seems especially gentle and careful with our little prince of a pup.  They do a great job with haircuts, use high quality irritant-free shampoo, trim nails well, clean ears perfectly and take their time while handling our pet with care.  They have lots of regular customers and the pets coming and going always look relaxed and free from stress.  Highly recommend.","Radley Cramer","116235678023626832914","https://www.google.com/maps/contrib/116235678023626832914/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIitexHFb2x587AXosSWBDTyTkXDkgyObKywywoW_PJUwiNOA=w36-h36-p-rp-mo-ba12-br100",1,190,606,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pSdFlsUnJSMjVFVGtwbmVrSnFSVUpaUlV0UVIyYxAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I was impressed from the moment I walked in. The staff took great care of my dog, paying attention to every detail. 🫶🏻
The bath was clean, the fur is soft and smells amazing! 🛁🐶
The grooming was perfect, my dog ​​looks so much happier and less stressed.
The place is clean, the service is lovely, and the staff are very polite. I felt completely at ease leaving my pet there. 💖
If you're looking for a place to groom your pet, I highly recommend ""Pornjai Pet Clinic""! ✨🐾","ชิดชนก เอกทรัพย์","113931022271517946837","https://www.google.com/maps/contrib/113931022271517946837/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIT6nyBVoVSHRcNPVpVcqtzmE53x1dFh0FMI5yPAGe_t2A_Sw=w36-h36-p-rp-mo-br100",0,1,5,"2 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2psQldXZDFUR3BVTkZWS1dVRktNMUJ5YWpSZlVYYxAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"The doctor is lovely, the staff are very attentive and provide excellent service. The clinic is clean and the doctor gave very good advice.","SRI WxN","109546357252079102207","https://www.google.com/maps/contrib/109546357252079102207/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVQEpEECwa2anA9S0rLlDhsEphTYaOamNL3hPqfkan5GUuXvGl7=w36-h36-p-rp-mo-br100",0,1,4,"2 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pGRmVTMU9NVmxtUzJsa09WbzVWVk5FYVRGb2IxRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"The clinic is very clean, there is no fishy smell at all. The doctor and the caregivers are all lovely. They bathe the children with normal soap, and if there is a rash, they use medicated soap. The bath is very clean, and the children go home smelling good.","Rawisara Laongsri","105047020596045449401","https://www.google.com/maps/contrib/105047020596045449401/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVQGSn6-rKcpA6Ndh5x7vb_5aArnAANGPRMvixj9PcK-Kn1YnE=w36-h36-p-rp-mo-ba12-br100",1,43,51,"7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21aQ1dYVmZkRlV4VUdseWJFRTJRbkpTYkRBMWFGRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"It's been almost 2 years since I found this place. I trust them to give my daughter a bath here so she smells nice and her fur is beautifully trimmed. I'm very happy with the results.
The vet is lovely and the service is excellent. The staff are also very kind and helpful. I always get beautiful photos here! 😍😍😍😍🐶","Gamemie","102595701734490660773","https://www.google.com/maps/contrib/102595701734490660773/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUaBmCgbfC-ySKuLrG34zUVh9sZCQnx0mFk9HJvY0RahitImbo=w36-h36-p-rp-mo-br100",0,4,10,"7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21ac1V6TXplWG96WHpScVYyZFpNRVpDWlZJeGFGRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"Since discovering and using the services here, both my dogs and cats 🐶🐱 have never gone to any other clinic. It's very clean, and Dr. Bee and the staff take excellent care of my pets. I'm impressed every time I visit. ❤️ …","เพ็ญนภา สังข์สอน","107967576095845628387","https://www.google.com/maps/contrib/107967576095845628387/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUCvLjvZGvZH6c6dBdNV1FyQBqVSzdq8T42tJxL-iVrKPxVwtQ=w36-h36-p-rp-mo-br100",0,9,9,"7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25RMlZGVmxVakZZZWs5ellUVnphRTg0VVcxRllVRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"The staff here are so lovely and caring. They give us updates every day. During festivals, they even dress us up and take pictures! 😂😍 …","Phachinee Parameesak","108010171402494136349","https://www.google.com/maps/contrib/108010171402494136349/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWxsLmfjHi9KYQ4nsOTuq2HQKFXfn3PElKOmHAMZsdMZk245RFE=w36-h36-p-rp-mo-ba12-br100",1,12,56,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tKNlkwZEZUa1JTWWtOS1JqQTFZVzVQY3pWRk5XYxAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I took my cat, a female feline, to a different clinic for her annual vaccinations. My cat is quite aggressive, but the vet and assistant were very skilled and provided excellent care. The treatment went smoothly, and my cat seemed calmer and less stressed. They also gave me advice for my next visit. The clinic is clean, beautifully decorated, and completely odorless. 🥰","Lilac _acw","105113268147536670203","https://www.google.com/maps/contrib/105113268147536670203/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXANYKZZOsDqPCfvYQ05biJzcScV5uuSFqZlQOX45HwJjyODhELzQ=w36-h36-p-rp-mo-br100",0,4,20,"9 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURnMGZ2bWlBRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"Before I met Dr. Bee, my cat, Giant, had peeling paws and sores on his mouth. I took him to many vets, and they all said it was a fungal infection or an allergy to floor cleaner. But he didn't get better, and his condition worsened. He couldn't eat, vomited, and when his mouth hurt, he would drink very little water. He also had digestive problems. Then I met Dr. Bee, who is incredibly kind. She diagnosed Giant with a protein allergy and has been treating and caring for him ever since. Whenever we leave Giant with her, we feel so secure, like we're raising him ourselves (he's even happier with a vet than with us, haha). Dr. Bee seems to genuinely love Giant. Normally, Giant is very timid and dislikes vets, but since being with Dr. Bee, he's not afraid at all.

Regarding baths, Giant's fur always gets wet no matter where we bathed him. Then we met Dr. Bee, who recommended a special shampoo. She's the only vet who can dry Giant's fur so quickly that we don't need to come back to blow-dry him anymore. For us, it's well worth the price.💓💓 Sometimes they even have promotions and discounts, and they also do photo shoots for various festivals.

As for boarding at a pet hotel, Dr. Bee and her assistant take such good care of Giant that he's become quite fond of it. Every time we leave him at the hotel, Giant never wants to go home!","baitoey ppsw","103391841498475225851","https://www.google.com/maps/contrib/103391841498475225851/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVuJSxSn3t5CGIimBwYNBGCwcmU2IyajT5tMaOVIwgUTplm91A=w36-h36-p-rp-mo-ba12-br100",1,10,33,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNRaWU2ejZRRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"This is Mon's regular clinic! It started when my dad was looking for a place to bathe and vaccinate Mon. After using their services for the first time, we were very impressed with how they cared for Mon (he smells so good now! 🥰). It's become Mon's go-to clinic now. They provide bathing, flea and tick treatment, vaccinations, treatment for Honrer's syndrome, kidney stones, fleas, ear mites, and boarding services. We always bring Mon here. The vet and staff are so kind to Mon. We can consult with the vet about his illnesses, symptoms, and treatment options anytime (the vet even sent us research on Honrer's syndrome to study!). During his overnight stays, the vet and staff stayed to care for him, providing updates every 4-6 hours. We could visit Mon every day. Even after we picked him up, the vet continued to monitor his condition, which was very reassuring. We've continued treatment until Mon is completely recovered. Now, we only take Mon to this clinic. 🥰 Friends, you should try their services too!","Chaloton","103174042644207284107","https://www.google.com/maps/contrib/103174042644207284107/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUcjKeSEG0x69QrNToHV5__cVhN8uOf3NFCgMiYkW-eOg0VsNU=w36-h36-p-rp-mo-br100",0,1,13,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25ONU9UQnRjRVJOWTNGZmNraDRkVm90WmtsMVNFRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I was very impressed. The doctor and staff took excellent care of my pet, paying attention to every detail. They explained the symptoms and treatment plan in detail, making it easy to understand and making me feel more at ease during treatment. The clinic was clean, the atmosphere was pleasant, and the staff were friendly and provided service with genuine care. The prices were reasonable. If you're looking for a professional and sincere pet care clinic, I highly recommend this one.","bb 15","113463031198405989514","https://www.google.com/maps/contrib/113463031198405989514/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWw7Bk_-Q6VHOfL5U9FlTtc21PirVhN13s3zNemzQlXFqdck_s=w36-h36-p-rp-mo-br100",0,1,0,"2 weeks ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNmaWRiRWRREAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"The veterinarian is highly experienced, knowledgeable, and able to provide treatment recommendations based on easily understandable concepts, allowing owners to live happily with their pets. The staff is skilled and knows how to handle and hold pets properly; the pets don't feel tense or afraid at all.

The clinic is clean and odor-free, and the grooming area is spotless.
My pet has never had any skin diseases since being treated here from birth, and always leaves smelling fresh.

Leaving my pet overnight is very reassuring because there are continuous updates, and my pet is never stressed while being cared for.
Even for just one day, the veterinarian and staff ensure my pet's physical and mental well-being after each visit.

The service fees and costs are very reasonable considering the quality received.
It's a clinic with affordable prices but extremely high quality.

I will definitely continue to care for my pet here indefinitely.
This clinic truly lives up to its name; it's incredibly satisfying.
♥️♥️♥️","Umasikada","115842388022625597935","https://www.google.com/maps/contrib/115842388022625597935/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVkOyDmtdDdnmFVr5Oa6JmIzZCjlK9r_JDVIcS42vhj4y7EYTEyjw=w36-h36-p-rp-mo-ba12-br100",1,22,156,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pBeFMyRXhNbmR0Wlhwb2IwTjZVbVpEY0hkRFdHYxAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I had the opportunity to receive emergency care. The doctor took great care of me. My cat's condition was very severe, but now he's bright and cheerful again. The doctor is very dedicated to the treatment. It's a beautiful, clean animal hospital with a full treatment plan. Most importantly, the doctor gave the cat owner clear information on everything. Thank you very much. Today, my cat's condition has improved. He's eating well and is cheerful. The doctor continues to provide advice for a long time.","Suchakre Weerajong","101752329787802408564","https://www.google.com/maps/contrib/101752329787802408564/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVcUgr4rSR2Bg7gnbLf4FXl6NV_wZWcJ6q7dUNcFutUPzorv_Np6g=w36-h36-p-rp-mo-ba12-br100",1,12,21,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2paWlQwbElSMHhwTTJwNmIwUjRiM0JvU2pFM01uYxAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I was very impressed. The staff at the clinic were lovely and provided excellent service and care. The clinic was clean, and the equipment was modern and complete. The doctor gave very good advice.","ame_ nattanan","101190753461839815524","https://www.google.com/maps/contrib/101190753461839815524/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUCkYPXlDzWSrjcQCUdkbVeAYWTUsL8xagTyiVbME6jC3-6yflt=w36-h36-p-rp-mo-br100",0,1,0,"2 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21oU1pVTnJORzl4YkRORU0wTm1jMEpYYWtwNVJFRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",1,"This place sucks. Don't go there. Even when I always make a reservation via text, they claim they don't know and make me fill out this and that again. Today, I dropped my dog ​​off, and when I came back, they abruptly told me to take him back immediately because he had ticks and could spread them to other dogs. You call this a vet clinic; you should be providing treatment or care (for reference, I've never seen him scratch anywhere or seen any ticks at home).

And on top of that, they demanded a shower fee claiming they gave him a bath, while trying to sell me tick medicine.

If there is a rule to return dogs if they have ticks,

they should have checked for ticks first.","김화성","101559151211552348494","https://www.google.com/maps/contrib/101559151211552348494/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ7c722Ck2D1vecHgN9In34R7jIFMUNZN69D7ezgi0znCXwbw=w36-h36-p-rp-mo-br100",0,6,3,"3 weeks ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTURBdTVmQ0l3EAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"The doctor is kind, the clinic is clean. My children are entrusted to her care for all the time. Bathing, health checkups, and childcare – everything in one place! ❤️🧡💛 …","Jitsuwan Klaosoontorn","115724132351271268198","https://www.google.com/maps/contrib/115724132351271268198/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWXOjej_YG7wvuMWafiO0yd_D39KS0SQpKOWNnTIJugq_fI98Hh=w36-h36-p-rp-mo-br100",0,9,9,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUR2aE5LOWZ3EAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"Thank you, Dr. Bee, for taking such good care of Laotong. From being normal, to developing a pinched nerve, then undergoing surgery, and then developing a blood parasite infection upon returning home. Now, she's recovered and can walk again. You gave her advice on everything. Laotong has been receiving treatment for many months, and you've always been so helpful. Everyone at the clinic has taken such good care of Laotong. Thank you so much! 💕💕🙏🏻🙏🏻🐶","Suparada phimpha Neung","100508391721045229005","https://www.google.com/maps/contrib/100508391721045229005/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXarv05TRnZkop61SJOj1LkJe63_JbaT1Vtp66LbL9R4HeW9NqCjg=w36-h36-p-rp-mo-br100",0,2,4,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTUNRMW9mZ0F3EAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"This is my second time here. The doctors are lovely and take good care of my child. They update me morning and evening. My child is happy. I've temporarily forgotten about my parents. I'll definitely use their services again.","thamonwan ratchatasriprasert","110904448310648618777","https://www.google.com/maps/contrib/110904448310648618777/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLPaAY5xP1O2YfCP_ryw1YBOgDARZ2KhnrJLXCZaDRTDlKUcQ=w36-h36-p-rp-mo-br100",0,5,15,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTUNvcVlXVWN3EAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"Whenever I have long trips away from home and can't take my cat with me, I always think of Pawjai Pet Clinic's cat hotel. They take excellent care of my cats and provide updates twice a day, which gives me peace of mind and reduces my worry …","Ploypilin Kasemsuk (Resolution witch)","106337679335046373243","https://www.google.com/maps/contrib/106337679335046373243/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU1ULabLcKeQ8P8_R1-LXlEy_7zk2Ixta2ObacUAhDE0jyInSb5=w36-h36-p-rp-mo-ba12-br100",1,12,12,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTURRekp1OFBREAE","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"It's like my polar bear friend has been brought back to life! 5555 So happy! The clinic is spotlessly clean, and the doctor and staff are kind, patient, and very attentive.","Kamolchanok Kaewkawin","116111986703137115687","https://www.google.com/maps/contrib/116111986703137115687/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWWxW4BIHoBIBk2CkByMtsQTXRzexL0EBUi4nCagMldqxWhZhrY=w36-h36-p-rp-mo-ba12-br100",1,10,34,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURaME9mNHJBRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"I'm so impressed! I've been looking for a clinic like this for a long time because my son is the most hyperactive dog ever; he never sits still, is very wary and possessive. Every other groomer at other shops or clinics would give up. But here, the groomers are the most patient. I told the clinic that my son is very anxious and needs to be soothed during bathing, and they did exactly that. Owners who are very concerned about their dog can watch the grooming process. For owners like me who are extremely protective of their pets, I highly recommend this place. You won't be disappointed. The vet examines and advises your dog before bathing, so there's no need to worry at all. The service is 10/10, no complaints. I'll definitely be entrusting my mischievous son, Khao Tok, to this clinic in the future.","Meaw Jai","104651989677335495377","https://www.google.com/maps/contrib/104651989677335495377/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVxJD7CEOYp0qdKSa9zih_-xg2e5MlkTYCMSgB_6W4Jbsi2rDw=w36-h36-p-rp-mo-br100",0,3,12,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURBeGM2RDZnRRAB","0x30da3bcc4fd0f04d:0x2ac623a448035ad8","Pawjai Pet Clinic พอใจเพ็ทคลินิก",5,"The grooming shop is clean, and the vet gives excellent advice on taking care of our pets' health. We use their grooming service every time we visit our home in Chiang Mai.","suvanee rungsawang","110980439576355101232","https://www.google.com/maps/contrib/110980439576355101232/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUe3Dk-Uo2b3TBIQ6kCNnArgt_O_r63B5NfxPbwb23ycBVf8Qc=w36-h36-p-rp-mo-br100",0,1,2,"a year ago","","relevant"
