"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnSUNMOXQyaDR3RRAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"Very welcoming and friendly environment. They have great customers service here. Highly recommend for others to come here if you are in Thailand for a trip!","Pattaramon Tipvong","113647307268415708458","https://www.google.com/maps/contrib/113647307268415708458/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWy6zD2S_vFjGH5aZsoLGJpRgHhDXDh2k10obM-BRzDgcio2Jy1=w36-h36-p-rp-mo-br100",0,8,3,"2 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xwSE0zTjFiaTE0Y1U1SFdtcG9RWFl3V1ZaS1VXYxAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"Very good","jaotaksanai","103113035582553677977","https://www.google.com/maps/contrib/103113035582553677977/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKW3NQaVpXDq1SYM3LPOWjCvdf9ZNcE5si8FRxNW2dbWm70CQ=w36-h36-p-rp-mo-br100",0,1,0,"2 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURyMEoyenFRRRAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"Good","Choosak SIricharnturakit","110300462241064361125","https://www.google.com/maps/contrib/110300462241064361125/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJBAApSChMhUds2oyOG2cisMZOo5g3CsYi-RLVINrDi1EFWkw=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xaYVEwUnFkVXM0VkV4WFFWcGFPVTVuVTNoMk5IYxAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"I was very impressed with the service at this clinic. The place is clean and spacious, and the queuing and appointment system is well-organized, so there's no long waiting time. The staff and nurses are friendly and welcoming, and they provide detailed and clear explanations about the treatment process. The doctor is highly skilled, gentle, and provides accurate information and a transparent cost estimate before treatment. The medical equipment is modern and meets high standards of cleanliness and safety. It's conveniently located with ample parking. Overall, it was great value and I was very impressed. This clinic truly cares about its patients.","P","101041794350388272864","https://www.google.com/maps/contrib/101041794350388272864/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXkW_kgWFQGSC1bFl8tdMVeTdmjHrhXF2Ty8yAa-vgjhbTmfws=w36-h36-p-rp-mo-ba12-br100",1,19,406,"2 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT210bVJIZzJkalp4TjA5dll6Sk9YMFpLZW1SV2VGRRAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"I got my braces done here. The doctor and the staff at the counter provided excellent service. They were always ready to answer all my questions, spoke politely, and were very friendly. The clinic is clean and has plenty of seating. If you have any dental problems, I highly recommend this place!","Pattraporn Muangmoon","116660141376516457242","https://www.google.com/maps/contrib/116660141376516457242/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW3ozEZsrGwqGdbt7Q2njgUrt6IGr1M9rl5ADlXcW5fwnDl9OtQ=w36-h36-p-rp-mo-br100",0,1,1,"2 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t0SVpqZzVZMnAwTWxocU0wZzBjbDl2UzFsM1YyYxAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"Today was my first time getting my teeth cleaned here. The atmosphere while waiting for the doctor was like being in a cafe. The clinic is clean, the doctor is lovely, and the staff provide excellent service. If you're looking for a dental clinic, I highly recommend this one!","pitcha chatrittirong","105397595956402294881","https://www.google.com/maps/contrib/105397595956402294881/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIOBO_Xes4klczb63dCBqAuus7GpgVVLAdFyy21TETcFBLGDQ=w36-h36-p-rp-mo-br100",0,1,2,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25KRlR6TXpaV2xQWjJwblptOVBSekpTZUVodU5FRRAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"5 stars! Excellent service. The doctor gave great advice. The clinic is high-quality and has modern equipment. I highly recommend Sweet Tooth Dental Clinic.","จิตตินรินทร์ เซียงหนู","116025095955870641267","https://www.google.com/maps/contrib/116025095955870641267/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU2Xqv89dzudcRUbcqRe0HzYiSY9c5PykFGaNMcOoHM_PheETcn=w36-h36-p-rp-mo-br100",0,1,5,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25SNlZ6SlRkMFZNWm5jM2RYaFJXREYwWmtwcGFYYxAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"Excellent! Everything was great, from the counter service to the clinic itself. The doctor was lovely, gentle, and gave great advice. I highly recommend this clinic!","M OK","117453964087190063113","https://www.google.com/maps/contrib/117453964087190063113/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVzRvD-lo4_pUm9V-EJQJ6lEL4aHRlbzDx8UJSC9PzZnQpvPP5b=w36-h36-p-rp-mo-br100",0,6,1,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xSRVh6RlpZa2xSUms1NVNIcHNlREEzU1ZGbFMwRRAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"Everything was great, from the friendly and smiling staff to the kind and gentle doctor who gave good advice. The place was beautiful, the prices were standard, and I could claim social security benefits according to my entitlements.","อารม บันเทิง","107702636792029484070","https://www.google.com/maps/contrib/107702636792029484070/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjURuVxpdfikCMx5K4uu4KtoPWc9uhxDxsyO2d7ND5DyQgiuVZ0N=w36-h36-p-rp-mo-ba12-br100",1,45,82,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pKdk1VdHZMV0ZXUVV4cmFsSTJURXQ1ZW1OVFVtYxAB","0x30e28bbd914a0323:0xd6838d7b492b11bc","จัดฟันไทรน้อย นนทบุรี จัดฟันใส รากเทียม คลินิกทันตกรรมสวีททูธ Sweet tooth Dental Clinic",5,"The clinic is clean, like being in a cafe. The staff gave excellent advice. The doctor had a gentle touch. It didn't hurt at all.","EemajinZ","110144098504408090496","https://www.google.com/maps/contrib/110144098504408090496/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWKgFOmwmPummxIDSyqO9edECPViFW4ZF_zFoyVScHyOHaV51o7=w36-h36-p-rp-mo-br100",0,2,2,"7 months ago","","relevant"
