"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT21seWVuVjRhek5FYzBwZmJHdEdUREpHVDNBNFdGRRAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"","พิมพ์พิชชา เรืองศรี","100500701354618088427","https://www.google.com/maps/contrib/100500701354618088427/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWlKhxD_qBgp4om84HfGdMt6tjUtKR7DqN9MPdJsJ83jHY8PLC3rA=w36-h36-p-rp-mo-br100",0,2,0,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2psVlJWWXpWVE5oTUV4UFQyMVJhREEyYXpSSVYzYxAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"I loved it! Excellent service, the doctor was kind, and the assistants were so lovely.","วราภรณ์ อยู่เจริญ","111796075721481479375","https://www.google.com/maps/contrib/111796075721481479375/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKXlhSbInfY6mtcqJlVUJQU0137AOjbVD7PdVS-73jqnEzU=w36-h36-p-rp-mo-br100",0,1,0,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT214c09HZGxka2RRVkhGamFrRkRhamt5ZG1kSlVVRRAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",1,"Only once for this place. I came for a teeth cleaning (tartar removal) and had a male dentist who hurt me terribly. Not only did he scrape off tartar, but he also scraped it off along with my gums. He told me to lift my hand if I couldn't handle it, but I didn't just lift it; I cried. The dentist showed no sign of stopping. I was in so much pain I couldn't breathe. Most importantly, the assistant who was supposed to suction my saliva did so in a very painful way. I've never experienced anything like it before. She kept pressing and digging into my gums, and she didn't stop even when I cried. If she's tired, doesn't want to do this job, or is disgusted by oral cavities, she should find a more suitable job. It was like she was venting her frustration on the patient. The tartar removal process was terrible. This dental procedure needs significant improvement, especially the assistant.","benjarut suklavangun","110864648585711393234","https://www.google.com/maps/contrib/110864648585711393234/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXtssX4KlqUbb7am7x25RgH5Dn-6C07enR3beuETfXUpiguZCJGzA=w36-h36-p-rp-mo-br100",0,3,4,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2sxRVZHUTFVVE5WWVROd2FFSldSM2RPTWxoeFYzYxAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",1,"","Syrup Cbd","103310196599206927376","https://www.google.com/maps/contrib/103310196599206927376/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKLaIvrUVtfSChmM1BCbyAEGCwBtS8SzQVqxz02AZS4xC9WEg=w36-h36-p-rp-mo-br100",0,1,0,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tGcVh6UTBZVFZxTFdaQlJYVlZZbmRpZG05S0xYYxAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"The female doctor had a very gentle hand. The tooth extraction didn't hurt at all. I lay there waiting to see if it would hurt or not. I was prepared for maximum pain, but it didn't hurt at all until the extraction was complete. She had a very gentle hand, both injecting the medicine and extracting the tooth.","Pathitaya Vijitsarangkul","113798806542086320607","https://www.google.com/maps/contrib/113798806542086320607/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUzRyRmGnF5K9uAAFTc5fUWVDhf3YABfVzAX66lB579j-Y50xc=w36-h36-p-rp-mo-ba12-br100",1,11,11,"7 months ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURmdWRXNDhnRRAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"The doctor was very gentle... I highly recommend her to everyone!","Nina Love","105521750181638236555","https://www.google.com/maps/contrib/105521750181638236555/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJd6hjBYA5AgjVOlilep7aTiXRgqS_kSzyJx8WaEXwxaEVwJg=w36-h36-p-rp-mo-br100",0,2,0,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURPei1xRjdnRRAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"The service was good. The doctor and assistant kept me informed throughout the process. The price was also reasonable. I recommend it.","Mun Kung","107947296527456703123","https://www.google.com/maps/contrib/107947296527456703123/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWNePsKbQ1x4cyigRUcXLFb3k48_ajZhmzx1yIMym4OAAOgVYdW=w36-h36-p-rp-mo-br100",0,9,7,"3 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURtMFA2Rk9REAE","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",1,"My mother had a filling done less than a month ago, and it fell out. When she went back for a new filling, the dentist accidentally cut her gums with the knife. The dentist refused to take any responsibility, simply telling her to buy some ointment and it would heal in a week. Is this really the ""ethics"" of a dentist?","Pyw ks","104129876907176565595","https://www.google.com/maps/contrib/104129876907176565595/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWd6aI436OCSheGothOQTFenmzsJdR_fxp34k0mPlpt1GMv18a2=w36-h36-p-rp-mo-br100",0,8,14,"4 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURHMTdIMXJRRRAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",3,"","naphatsaya chuatawa","105481457360255384210","https://www.google.com/maps/contrib/105481457360255384210/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWUeVBhvNGEZinpyr2826G6YZWdfw58GnIYnbrjxJOBgEvBtSLY=w36-h36-p-rp-mo-br100",0,2,0,"4 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNhOUl1QnFBRRAB","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"Everything is good.","ธนกฤต ชัยวันดี","115499781981594745519","https://www.google.com/maps/contrib/115499781981594745519/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU7wUpBakjMzSSQ1xzchht6fMC23qCUUAi8uV4Rt6W6a6Vw9zbZ=w36-h36-p-rp-mo-ba12-br100",1,19,0,"4 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURjdk82WktBEAE","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"The doctor was very gentle and provided excellent care throughout the process. The clinic staff were also very polite.","Pichravee Pinthong","112136989964583017163","https://www.google.com/maps/contrib/112136989964583017163/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI9xoFxFWHZOPwGFxQmv07ZK-f-LyDHGojFCbtkVHRboNkHAw=w36-h36-p-rp-mo-ba12-br100",1,10,35,"6 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURrcjdHcUV3EAE","0x30e29132f63966c9:0x62682625af303834","พรีม คลินิกทันตกรรม Preme Dental Clinic",5,"Professional and qualified dentists available here.
Capable for general operation.
Gum surgery.
Implant.
Prosthetic.
Tooth whitening.
X-ray, moulding. Etc.
They have children friendly staff and environment with cozy decoration.
Car park is right in front of the building.","jj X.","111615095643800764478","https://www.google.com/maps/contrib/111615095643800764478/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUTmc-I2rCoexcfz6XJjQkwS2H3zk7bL88ZpPGI98bYBud7Zz9w=w36-h36-p-rp-mo-ba12-br100",1,171,1080,"6 years ago","","newest"
