"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT25FMWQycGhOblJmT0hOQ2RURlhYMmhZT1haR1pGRRAB","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",1,"the doctor is full of ego and they’ll charge you 500 bath for nothing","Vicky Bloom","118411099064989237248","https://www.google.com/maps/contrib/118411099064989237248/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXgXiSaLpYnJLPJboVsi4glGPlCqB0E8DtGmM4yV5ytfBcBOy4=w36-h36-p-rp-mo-br100",0,2,0,"2 months ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTUNRenU2U1ZBEAE","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"Good service   good doctor   good price   and good quality","สุณีย์ ดอกกระทุ่ม","112772856037328844656","https://www.google.com/maps/contrib/112772856037328844656/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLW9UoWGegs1efLMGr-CNY5ybYRdEM9gDUbRk5oxgfAalDOkQ=w36-h36-p-rp-mo-br100",0,1,0,"Edited a month ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUN2cWJmYllREAE","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",1,"I'm confused. They charged me 500 baht before the examination. The nurse said it was for consultation or treatment, and it cost 500 baht. The examination lasted less than 5 minutes, and they asked for another 300 baht for medication. The doctor was also rude and didn't listen to the patient's opinion. I want to know what the 500 baht was for. (But the doctor said, ""I'm not scheduling another appointment with you."" Is this what treatment is? Hmph.)","Najo Jano","103179530867041887970","https://www.google.com/maps/contrib/103179530867041887970/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI4TqUfmSYTVZ7_N4mTvAlIutl8BxI812fjeyVHFb0dhybNng=w36-h36-p-rp-mo-br100",0,1,0,"Edited a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURINHMySEJnEAE","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",1,"They demanded 500 baht before even examining the patient, despite not having seen the doctor yet. Unbelievable, I've never encountered a clinic like this before. Don't even think about putting on a mask beforehand, because you'll be charged an additional 10 baht per mask. Everything is so pricey these days.","SMPUK","110403709025499488002","https://www.google.com/maps/contrib/110403709025499488002/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWrYo6RviffIZWcMOGqMFn2Fbp9E3IiM3sMjvocBt6dDYB5RICu=w36-h36-p-rp-mo-ba12-br100",1,43,10,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUR0ajRqVnB3RRAB","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"They offer comprehensive facial treatments at a great price. The doctor is very friendly and kind, and explains each procedure in detail, which made me feel very confident using their services.

P.S. I even saw a celebrity getting treatments there, but they kept it quite private :)

Oh, and there's also a dental clinic in the same building, which is very convenient. Next time I'll get both treatments done, saving time.","Theerasak Luksirilert","117314814365178001647","https://www.google.com/maps/contrib/117314814365178001647/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIssgxcJt2wAPIJm2FFhw8DP5WruKn-KOH8eqLRRWZE8k3Jyg=w36-h36-p-rp-mo-br100",0,2,1,"2 years ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUN2dXF6bHh3RRAB","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"The doctor is calm, polite, and has a reasonable price. He has a gentle touch.","Tas T","111495488369768123737","https://www.google.com/maps/contrib/111495488369768123737/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVyqtR4uTLng-X7weBkcedVIxPJKL3-YyBidQfmq0JZfXdkDsoBAw=w36-h36-p-rp-mo-ba12-br100",1,787,6675,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUQtX3BpcG13RRAB","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"Treat acne, melasma, freckles with laser, Botox, and fillers at affordable prices with top-notch quality. Highly recommended!","Ungsumarin Luksirilert","112752487819671185160","https://www.google.com/maps/contrib/112752487819671185160/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ3RJjkQQudKgK-jL65AWR0lfZSyYPwzt6QswLChfqqLNXKIA=w36-h36-p-rp-mo-br100",0,3,0,"3 years ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUN2cy1iWklBEAE","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"Effective acne treatment at an affordable price.","กุลชาดา วันเกษม","107156710899868658144","https://www.google.com/maps/contrib/107156710899868658144/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWsgcOsbvp9iKGIhnfiZdToFx_k0oGpyfWH1TOsrBC_W-oNyKI9=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTURneXZpQ2JnEAE","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"","Mymint Mobile","117234649690139127881","https://www.google.com/maps/contrib/117234649690139127881/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIfh1GlgGq2BT1pEwXfS3kaU-hdGbRXXlaxGd_4zd_65Ma2kg=w36-h36-p-rp-mo-br100",0,0,0,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUQzOFpiQlN3EAE","0x30e298e1bfbef3cb:0xffc191beda075677","Tha Din Daeng Clinic",5,"","putchputchy","101585990342781572754","https://www.google.com/maps/contrib/101585990342781572754/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVghJy7jW2jIMWi01dNrVFcUe4NXaf_iotWTxljea71tVdIM8PQnw=w36-h36-p-rp-mo-ba12-br100",1,50,1011,"a year ago","","newest"
