"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnSURYN2RPSzl3RRAB","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"Had such a great experience at Blue Tooth Dental. Had about 5 sessions and each was so professional, clean, and great service. Gave great advice and very patient. Had 4 different dentists, all kind and professional, all spoke great English. Staff were kind and welcoming. Will be back for sure. Thank you Blue Tooth :D","David MacDonald","107642622010314711290","https://www.google.com/maps/contrib/107642622010314711290/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLQmvK-JAwH11TucI76df9-CjyT3Rxq5SfaEairER_HfoMWIA=w36-h36-p-rp-mo-br100",0,9,0,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNyd3M2eU5BEAE","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"I did Invisalign here and in 18 weeks my teeth where straight how I wanted it to be. The doctor is very friendly and helpful. Also always enough staff available and appointments could be made within a week. Overall can really recommend getting braces here!!!","Annie","112818430324207724968","https://www.google.com/maps/contrib/112818430324207724968/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVwjtgo3XKoalxwGO5xU839Z4DpbA598lvsIUId1_ksBaW3tEI=w36-h36-p-rp-mo-br100",0,6,1,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUM5blBHUlR3EAE","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"Would like to extend a big thank you and gratitude towards the whole team at Bluetooth. Over this last few months they have really looked after us and me and my wife are very happy with the work we have had done. Hope to return for more work if needed in the future.","George","112353289587195898835","https://www.google.com/maps/contrib/112353289587195898835/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKBmRulrXGksDgUQ4Wdx673o7IvDqzAY3yRvsnjQzIGN8ZlkQ=w36-h36-p-rp-mo-ba12-br100",1,55,1,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VLeWhxUDJMOWRDOVRREAE","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",2,"The clinic is clean, the staff are good and polite, and the service is systematic. Prices are standard, but you should call to check and make an appointment because the clinic is quite busy and changes times all the time. You may have to allow at least 1 hour for waiting. If you make an appointment at 3 p.m., you may actually see the doctor at 4 p.m. (this may not be the case every day). Overall, everything is okay, except for the appointment not being on time.","Mario Kun","107195763213048768060","https://www.google.com/maps/contrib/107195763213048768060/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWWvvn4jJATT4DJ_DCBF2Un4ZHUkm3M9vwk_Jxh3yUe4kCWrxPnwg=w36-h36-p-rp-mo-ba12-br100",1,1106,24065,"Edited a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURnb1pTWWhnRRAB","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"Today I had my braces done with Dr. Lin. I was very impressed with her; she has such a gentle touch. The staff were also lovely and kind. It was very convenient to get there; I just got off at Bang Yi Khan MRT station and it was right there! 🦷✨❤️🫶🏻🫶🏻 …","Mutita Dungpedsang","117977269863180419225","https://www.google.com/maps/contrib/117977269863180419225/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKrsU_3CIs5WFopppWYdYu_rH7M6MHsxU6Lbb-qB1dsFfv6wg=w36-h36-p-rp-mo-br100",0,1,2,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURneHFESnNBRRAB","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"I had my dental work done with Dr. Bow at the Charan branch. It was great. The doctor was kind, patient, and always concerned about whether I was hurting. I feel like I made the right decision choosing to use the service here. All the staff are also very nice and friendly. Even though I was afraid of going to the dentist, I feel very relaxed now. ❤️","ณัฐธิดา สืบใหม่","109064514044072906451","https://www.google.com/maps/contrib/109064514044072906451/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLvqI_2rB8yGFFb5n8ebtd15icsBEYewRWU6fFu6s85eI6xYA=w36-h36-p-rp-mo-br100",0,5,2,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNRNUpMV2x3RRAB","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"Reviewing my orthodontic treatment at Dr. Aey's clinic (Chanthaburi branch). From the moment I walked in, the staff were very welcoming. Dr. Aey provided excellent guidance at every step. She's incredibly gentle and kind. The clinic is clean and I'm very impressed! 🫶🏻🦷 …","RUJIRA THASA","116359239924126244797","https://www.google.com/maps/contrib/116359239924126244797/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVYJJVclNaUgml5AC6t3KfWkYE7YaJIkVJUhEX44iWFfeZ7kWA=w36-h36-p-rp-mo-br100",0,1,1,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTURRMVBtT1JnEAE","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"I was personally very stressed about my dental problems. This time, I'm getting braces for the second time with Dr. Tae. He's kind and gives good advice. Overall, I like him. Now I've even brought my son to get braces with Dr. Tae as well.
The staff at the counter were also very helpful and lovely.","รุ่งอรุณ วันใหม่","115190986908701029689","https://www.google.com/maps/contrib/115190986908701029689/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXRdGcIMpojMARLd4S6AYvPSyvrWRZzYRuEnaQ5QA0qg3XOmKRUFg=w36-h36-p-rp-mo-br100",0,2,1,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTUN3LW9mMkR3EAE","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",5,"Getting my braces done with Dr. Oi was a great experience! My teeth straightened very quickly. Dr. Oi is kind, and all the staff here are lovely.
The clinic is clean and the service is excellent! 💯💯💯 …","Sydney y","100934040356313422075","https://www.google.com/maps/contrib/100934040356313422075/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXaiRirA-Id2xY1eCLpSLDaD3RTx4c5asWSbNzEX2XUZqdnJwvo=w36-h36-p-rp-mo-br100",0,9,7,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTURneTdQS2VBEAE","0x30e2999dcb194883:0x344955967cf663dc","Blue tooth dental clinic (Jarun53) คลินิกทันตกรรมบลูทูธ จรัญ53",4,"Getting braces with Dr. Meow was excellent! Dr. Meow gave great advice, was very kind and friendly, and the staff and assistants were very helpful and friendly. I highly recommend her! 🥰🥰 …","สิทธิชัย ภิญโญ","115834044128007645796","https://www.google.com/maps/contrib/115834044128007645796/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVmyd7eRZAsbVnjtkdWGmqcbw9-TeRwdfw-jCJW7s1d_RxPcplJ=w36-h36-p-rp-mo-br100",0,1,2,"a year ago","","relevant"
