"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnTURRdDUycjVnRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"I had an amazing experience. From the moment I walked in, the staff was very welcoming and friendly, making me feel at ease. The dentist was professional, gentle, and explained every step clearly, which really helped reduce my anxiety.

The clinic is very clean and equipped with modern technology. The service was excellent, and the price was reasonable for the quality provided. I felt no pain at all after the procedure, which was a pleasant surprise!

I will definitely come back for future treatments. Highly recommend this clinic to anyone looking for great dental care!","Game Snow (เกม สโนว์)","116095374534748144199","https://www.google.com/maps/contrib/116095374534748144199/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWXSYvRIIhg4alsjMxwMn35vkZE4eBEaiJb0fNSgc63CAQ2R0wR=w36-h36-p-rp-mo-br100",0,3,1,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUQ5dk95M3pnRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"Highly recommended.. came to do a crown here with Dr. Ploy and with 2 visits only (within a week) i was done.. prices are affordable, the quality and the final result is amazing.. the staff in the clinic are incredible people thank you all for your service, best wishes.","thunder light","108888898600485275879","https://www.google.com/maps/contrib/108888898600485275879/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIGBGZqQu5ACNPj9HoQdU6gFSSN2vfD2UgIzncQ4FExOZ7qHA=w36-h36-p-rp-mo-br100",0,1,0,"2 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT213d2FHNUlNRWc1ZUVrek1HUTVPV0ozUkVGV1RHYxAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"Good job","Petch Chp","112193111627621609909","https://www.google.com/maps/contrib/112193111627621609909/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXq53918Og6jOtBpiyYUTqHrOW_7sNibfpCW4AhuEjGT6hDStUM=w36-h36-p-rp-mo-br100",0,3,1,"6 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURsbmR1UllnEAE","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"This clinic is beyond expectation both service and place.","Sirasit Rangsiwarakorn","101684265787158980126","https://www.google.com/maps/contrib/101684265787158980126/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVUUT29lvsAM-v4fav0evKBQUknHbx1xXbo26x4uTsrdQAcO8BY=w36-h36-p-rp-mo-br100",0,3,3,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUQ5cWRTNjdnRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"Got a cavity filled here for 700 baht - amazing dentist, very careful and attentive to details.","Kristine Hara","107000739778928290294","https://www.google.com/maps/contrib/107000739778928290294/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW0VDBXVf_Jq66-fCINLOfqHKq9mNyf63cHqrjPKPJ719K9ULH33g=w36-h36-p-rp-mo-ba12-br100",1,132,113,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNEd04zVjl3RRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"Very friendly staffs and such a good service both dentist and staff. Highly recommended","Ya Yanyong","104597452002822486369","https://www.google.com/maps/contrib/104597452002822486369/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVhdmV9hcvvyHU9AHmWRh_jSEaq7nAGDM15sWoW1zo9eL75zg_O=w36-h36-p-rp-mo-br100",0,1,0,"2 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pSalRtRnNNR3hYVVdKZmEzSnRTV0ZZUlZSTlgzYxAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"So good","Nook (Nook)","110757437842557574861","https://www.google.com/maps/contrib/110757437842557574861/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU4ror_-OKsOiDblBaMzQg1SfbYjTi9vuC5-SUh4zJUv7AnV-XJZA=w36-h36-p-rp-mo-ba12-br100",1,15,4,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xwcFdrVk1aalU0WjBreU5VNTZOMkZKZFVOTFdVRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"Goodddd","Naszi Bolox","111724295872184330333","https://www.google.com/maps/contrib/111724295872184330333/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJflZRy5-pR6Maey2Kn25goKxwfKgoeFGOuSw0Hcofrc1ikZA=w36-h36-p-rp-mo-br100",0,1,0,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tWYVFYbDBZbVpUVTJoemNreHJhelJRVkdSRk0xRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"very good","waraporn puangpong","110468919101652460683","https://www.google.com/maps/contrib/110468919101652460683/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXjPFsWLlAyZ8e5i7HFiqjK58z_wW7uU_8WNCkUOm5lNXUQi2OO=w36-h36-p-rp-mo-br100",0,2,3,"9 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pWNU1XWnJZVTk2ZUcxaFZVeFlTRmd3VUZCSlYxRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"This was my first time getting my teeth cleaned (tartar removed) at this clinic. The dentist gave good advice, was gentle and meticulous. The reception staff were friendly, the atmosphere was nice, clean, and the price was reasonable. 🫶🏻✅🦷 …","T S.","104127977278238238303","https://www.google.com/maps/contrib/104127977278238238303/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIyDMUsx7Uhhg9ktEjWthYpIPIeroiq--sWxUzWawylRuW9pA=w36-h36-p-rp-mo-br100",0,5,4,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25ReGFURllZeTFOT0RCT1JXRlJNVmRvVTFCS1QxRRAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"U-Fan is good.","Peerapat","113240332825761125446","https://www.google.com/maps/contrib/113240332825761125446/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKc_vhkfOt4YPcBHe4xzVDqRPh32fKbhP2Ybj0ePfLbrmX1xA=w36-h36-p-rp-mo-br100",0,1,0,"2 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2swNWEyeE1jSFZqWmpsUFNtazBZMWhtVnpsUlZIYxAB","0x30e29d199a03811d:0xf3fd4c0119c8bc79","Smiley Hours Dental Studio (คลินิกทันตกรรมสไมลีอาวส์) โดยลาดพร้าว48การแพทย์",5,"Excellent service! They are very attentive to customers.
#OrthodonticsNearMe","Sumaporn Polkumsing","112253821071786626759","https://www.google.com/maps/contrib/112253821071786626759/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVRZNFeZw5DPf7FjLkLRYnk3sR2Da4edyg0lpmBbm-7sFAFf8UlLQ=w36-h36-p-rp-mo-br100",0,1,0,"3 days ago","","newest"
