"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2tVemVWOTFiMUJxV1dKaFNVNURlbGx2UVhWM1NXYxAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"Real patient review: I'm a patient of Dr. Deaw and I had my orthodontic treatment here. I've completed my full course of treatment and am now wearing my retainer. Dr. Deaw is so kind and attentive, he followed up regularly, even after the treatment was finished. He's very caring, speaks kindly, and is very nice 💓💓. The clinic is clean, the staff is friendly, and they manage the appointments very well. I never have to wait long. I'm a patient of Dr. Deaw myself, and I also have my daughter's dental care here 🥰💓💓. I highly recommend him! The price is affordable and the care is excellent.","Haikham Keopaserth","114872577357742431803","https://www.google.com/maps/contrib/114872577357742431803/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV_5qwo4L1oQ4c4qauDG-k7R7PKsva6ePIwXz-CiCSwhEKYeXU4=w36-h36-p-rp-mo-br100",0,3,0,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tsRmRuQjZjRGx6TTIxWlpXRXhhemRtUzNsSFUwRRAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"The doctor was calm, lovely, gentle, and didn't get annoyed when asked questions. The counter staff were polite.","อรพรรณ แซ่ห่อ","104237891117912564725","https://www.google.com/maps/contrib/104237891117912564725/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJZHGne3srjqxDNp4srw8GztgYJvFPvMfdnc9LGjtPgrby7mg=w36-h36-p-rp-mo-br100",0,5,0,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25OZlUwRkRUamhLYlZKWVZuQlpUbTR0U1c5Vk9WRRAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"The staff, including the doctor, were kind and lovely. I felt comfortable using their services.","ปาณชญา ดีประเสริฐ","105087197720582408966","https://www.google.com/maps/contrib/105087197720582408966/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJv7cg2PpZukQYgWjLre9k_8Xpdgiapt4G1iUdLaTFV4Czoi2U=w36-h36-p-rp-mo-br100",0,1,0,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT201VlptOUZaRUZyTmtsV1MxbDRSakJ6U3pkRGRtYxAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",3,"I would like to see some adjustments to the behavioral changes in children who are afraid. When performing the procedure, allow for breaks. Opening the mouth for a long time will likely cause jaw pain. Especially when opening the mouth and crying, the light will shine in the child's eyes, and the assistant will not even look at it.","AMEN P","105751747817527550450","https://www.google.com/maps/contrib/105751747817527550450/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWpyYwCa1Mg3yf64bgN8o2gvXrOGpxTkpMyQuyIM2fsNg68J2Y=w36-h36-p-rp-mo-br100",0,1,0,"7 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xKZmNTMDRialowV2s5c01uSnBXREprVjA1YU0yYxAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"The service was excellent! ❤️","Fittreeyah Dayanta","101687982332071585741","https://www.google.com/maps/contrib/101687982332071585741/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVNChanXH4zMthOBtJ1KQhH3H0SvyooOx6nz_14A_ec1jG0kw=w36-h36-p-rp-mo-br100",0,2,0,"7 months ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNkNHJlUWFREAE","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"This is my regular dental clinic. The dentist is very kind, explains well, and has a very gentle touch. The staff are friendly and polite. I'm impressed every time I come here. ☺️💕 …","P’pecth siwapron","111104239515247007646","https://www.google.com/maps/contrib/111104239515247007646/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ8AH_cRvHkv0om_1A8KsOfDET6FxIHzxmsrd3JGz1qtOT6-A=w36-h36-p-rp-mo-br100",0,1,0,"Edited 7 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pWNVNHeFZhVUpLYVVOUUxVNWpVelpxUlhaWmMyYxAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"It was very clean and the service was excellent.","Thada thanaphatkobkul","113029179523549889152","https://www.google.com/maps/contrib/113029179523549889152/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJfo8I10iZxeYWzW1GEyZcRkR1m7YyiaJrH3VeFM1dU7Requw=w36-h36-p-rp-mo-br100",0,5,1,"8 months ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURjckpIMEp3EAE","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"The clinic is clean and the staff provides excellent service.
The doctor is kind and has a very gentle touch.","Amnat Matsongkhram","114030743879640536424","https://www.google.com/maps/contrib/114030743879640536424/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXnjYF3t917zaxY3sMb5WScvXNM-s557x4zh3XsX6ht2-dits79=w36-h36-p-rp-mo-br100",0,1,0,"Edited 9 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xoTmNURkJXRGhvYldsT0xXWjZTRmxFVEhKUE4yYxAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",5,"The service was excellent.","Chayanan Chantaba","101889773166915358348","https://www.google.com/maps/contrib/101889773166915358348/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLVeCyqcmO3bh6AJFtwXqXXPc21R4QXFejRt1PgOeQaSlJkEg=w36-h36-p-rp-mo-br100",0,1,0,"9 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT201T1RHZHJXRTkyU0V0T2NuSlFUSFZCWTBsWlNWRRAB","0x30e29e0702183123:0x3d06f4a1b93e043b","คลินิกทันตกรรม สุขสันต์สไมล์พลัส Suksan Smile Plus Dental Clinic",4,"","K. T.","108517266119473085155","https://www.google.com/maps/contrib/108517266119473085155/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXGNmP_9xIn9gtMZSPSIhYiaFjDTlCaiGJXyYG-ijK4XolbEnFRMw=w36-h36-p-rp-mo-ba12-br100",1,472,5794,"10 months ago","","newest"
