"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2pGS05XVk5lbnBVUnpjdFMzQkZVMmhsWTJoRllsRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",1,"Dr. Suchart, Anusawari Clinic
Nose surgery resulted in a crooked nose.
It worsened the nasal structure, increased breathing difficulty, and caused a deviated nasal septum due to silicone pressure.
I'm allergic to amoxi, but they prescribed amoxi. How awful.
I recommend researching the doctor's background. Search his name to see if he's a certified plastic surgeon.
This way, problems can be addressed or prevented in the first place. Surgery is painful in the first place.","Atisit J","103409003226537996949","https://www.google.com/maps/contrib/103409003226537996949/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKo4i5fjT-EdyyANcccWbiPLNlJEqd3UjtgtoEQm-NZJ4L0zw=w36-h36-p-rp-mo-br100",0,8,0,"3 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNIZ3FQaHZnRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",1,"Probably only once.
Forced to sell courses
until it was uncomfortable. There were no real promotions.","Paweena Saovrun","115780435822986120698","https://www.google.com/maps/contrib/115780435822986120698/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocK8q36v1dZAMgxSiKlF70Ezr0URailP0sAGg0eKrlK1SacciQ=w36-h36-p-rp-mo-br100",0,6,0,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pFdFdHRlhTUzFDZUUxU2NVNW9jbXBtYW5reU1tYxAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",5,"The reception staff were very good.","Prakaythip Sangnow","111733495661150844132","https://www.google.com/maps/contrib/111733495661150844132/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLBmz7fMhoqGRE-NkBFCA3JxsjFRegVSVCF_pSo4H93tRESbw=w36-h36-p-rp-mo-br100",0,1,0,"8 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNNajdXeG1nRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",1,"The receptionist had terrible manners.","Sudatip Daisy Kastinen","104511167892638933883","https://www.google.com/maps/contrib/104511167892638933883/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKyT9MYBrpapV6A3XTBOn4H_uNPvafZN7JFKuGjHsX1mywlFc8=w36-h36-p-rp-mo-br100",0,2,0,"6 years ago","","relevant"
"ChdDSUhNMG9nS0VLR2JtTXVieXJDbzFRRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",5,"","mg kaung","104933507758371310694","https://www.google.com/maps/contrib/104933507758371310694/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUPjb5HaC9UgFY-HXTsMc8YGwf0-SaSFsnjqkBZ1hr_NUmti8RZ=w36-h36-p-rp-mo-br100",0,1,2,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURJcmRHbnFBRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",4,"","AR Aroon Radio","111176965027449234436","https://www.google.com/maps/contrib/111176965027449234436/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKHH8KgxM4Iu-mU0oPjkUzR4yk7F9Y_4Dg-WOPinQM69DNVbw=w36-h36-p-rp-mo-br100",0,0,2,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURKcE9icU1nEAE","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",4,"","Asia Somdee","115871035232274360653","https://www.google.com/maps/contrib/115871035232274360653/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXmrPNdYsDALoCYsKtL6gE1qmprpn3FXu9U6JAMKuymiE7utOT5=w36-h36-p-rp-mo-br100",0,0,0,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNocHBESHFnRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",3,"","nana soonnn","111768559228082284429","https://www.google.com/maps/contrib/111768559228082284429/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWwX2xeX7-OQt_HF5oqmB67wyKb--r1CrZmXh2huJULKWhvm3EM=w36-h36-p-rp-mo-br100",0,2,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURZdk1QTEhBEAE","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",5,"","pang su","118323594046933755955","https://www.google.com/maps/contrib/118323594046933755955/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIqdUVAk4jL2edPsQYeBfzGf7GG7p8Jj8QCuUqvdbwL5xZwbg=w36-h36-p-rp-mo-br100",0,0,0,"7 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURROU1Id2p3RRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",3,"","pøzz váññ","114341469025918679604","https://www.google.com/maps/contrib/114341469025918679604/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWVeSeEPkYdVMtF02MnoUqLX1wlzRDAzDTOf0_CgUOxDKTOq14=w36-h36-p-rp-mo-br100",0,0,0,"8 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURBb0pTSHNRRRAB","0x30e29eba0be27d7f:0xc1a8250d9029c50d","Anusaowari Clinic",5,"","Chodsitti Kulyaapin","109344431800656551694","https://www.google.com/maps/contrib/109344431800656551694/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI1pAlFlDcYClS1ggiSUIQCvdG56OWHwQEwaRIrNQnvbdCQUg=w36-h36-p-rp-mo-br100",0,0,0,"10 years ago","","relevant"
