"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xsMVJFbHNSak0zWTBJMVFtcEpWbEZUUlRKUFNuYxAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",5,"Good experience. Fast service. Friendly staff. I needed a medical certificate for driver’s license. Total time in the clinic was 30 minutes.","M","110714896458478330946","https://www.google.com/maps/contrib/110714896458478330946/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU9QcQsZTsW-quMpI3dwb5wiKYrlM0EwYjmvg0szBHh9hNQ_PDbZg=w36-h36-p-rp-mo-br100",0,14,4,"11 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2psVWNIaHZMVlpDUTFGbFVqZFJUbEJtU1dZNFRtYxAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",4,"Medical check, Fair price and English is ok. Total 600 Baht for an Xray. Good location in front Emsphere.","Moe","117440037470951227481","https://www.google.com/maps/contrib/117440037470951227481/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUgByFZIKxgbRkpBc66PgUmMnxtGWK80wcTeNUowsmJTNm5-2c=w36-h36-p-rp-mo-ba12-br100",1,51,71,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUN4ek43YWxRRRAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",5,"Went in for a work permit medical. Proper blood test and medical exam in perfect English.. all in 30 mins and returned to get the blood results and certificate an hour later..cost was absolutely reasonable..","Robert Ruesz","109508693477325094824","https://www.google.com/maps/contrib/109508693477325094824/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVsoJJ6GA3-Y0VSpFS9rH39kvkCmrE_NjzB1CTkAm-9qSoQlpM=w36-h36-p-rp-mo-br100",0,11,7,"3 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNpejdMVnVnRRAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",3,"Bad service and really expensive. Should have great service for the price. If you have time go to a proper hospital or better clinic.

980 for medical certificate for work permit. Or 680 if renewing. I’ve seen it elsewhere for 380.","James Au","116201244238969600951","https://www.google.com/maps/contrib/116201244238969600951/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUR-tOxMYn5KitD2ZGAI4Fzcncd6L5E_lFPZJ09-95qTGfgSiXP=w36-h36-p-rp-mo-ba12-br100",1,87,47,"Edited 5 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNRdVlET1FREAE","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",1,"Complete waste of my time and money.  Doctor told me I had laryngitis when my symptoms were nothing of the sort...  Tried to sell me 5 different types of medication for symptoms I didn't have, at a cost of 2,800baht and said I need to wear a buttoned shirt instead of a singlet to help me get better!?!?! Needless to say, I told them where to stick their medication and had to pay 300 doctor fee plus 150 'service charge' for the privilege of being spoken to like an idiot!!  Only go there if you want to be ripped off by a non-professional make-shift doctor!!!","Kyle Smith","113502173479703179689","https://www.google.com/maps/contrib/113502173479703179689/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXXnYRbeOVd8JbaM5Fs9UcIomT4YHS1JhdOou9dnwg5G0L8Y4cw=w36-h36-p-rp-mo-ba12-br100",1,41,6,"12 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21SUmVYUXpkRmhTVEVoWmJtZHllVlJTY0haNVMxRRAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",1,"foreigners not welcome, horrible service","DC","105325727345806459750","https://www.google.com/maps/contrib/105325727345806459750/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLx_ZMr-j9lO6F1jN0EebHNdDFSL3vTh-kGZfv0tQkH5f9q=w36-h36-p-rp-mo-ba12-br100",1,38,14,"a month ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURSNmViaGxnRRAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",1,"Used to come here the doctor scammed me for 5k and after I agree to do the thing she said the Muslim woman talk to me really rude. The doctor also changed her tone to be condescending and rude.","Rc Rc","109969054361673987914","https://www.google.com/maps/contrib/109969054361673987914/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIyAtGLSu_GHtzSA8dYByuz3MtfwVnJIwQdREA0fMfMtRabFA=w36-h36-p-rp-mo-br100",0,2,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNBN1pEQU5BEAE","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",5,"Professional and friendly staff. Very efficient almost no waiting. The default place I would go to if I need to see the doctor in Bangkok.","Yiping Jin","104460870072449968017","https://www.google.com/maps/contrib/104460870072449968017/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVYkRO94bEY0f-ArHWfkI7LslCWo1GBp60vihvfcezs5WcQuv8k=w36-h36-p-rp-mo-ba12-br100",1,36,44,"Edited 8 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUQtbjYycDV3RRAB","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",4,"Solid checkup today. Fair price. Good service. In and out. Will probably go back next year.","Santigi Kamso","106733223505138337692","https://www.google.com/maps/contrib/106733223505138337692/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXBMeDYoiRTIGhNRcdE1Cajz59Q_Onp_0F3dGbg96Li34U4-WJ2=w36-h36-p-rp-mo-ba12-br100",1,31,8,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNSMHYzMmRnEAE","0x30e29f027ff95dcb:0x3787d7f8189d2ebd","RSU Healthcare Co.,Ltd.",5,"Thankyou to the Nurses and Doctor at RSU Health care i was treated there today and Everyone was very friendly and professional i would highly recommend this place to everyone,Thankyou🙏 …","Scott McDonald","116571939760704703025","https://www.google.com/maps/contrib/116571939760704703025/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLQa7TZLE47_4CWQc7BzKirRCWvZh0czG44VVPSKre5TGcuTA=w36-h36-p-rp-mo-ba12-br100",1,20,0,"3 years ago","","relevant"
