"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT210UU5sSnVjV1V4VkVkNFFtTnFURVJvWXpFNVRWRRAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",4,"Had a dental floss piece stuck between molars. Went for a session to remove it as the metal cover on one of the molars got an edge while trying to clean it.   2 mouth wash at 600; 1 Xray at 400 and a 2 min metal cover grinding at 800.Whole treatment at 2,400 bath and all done in 5 minutes.","Wil Mizog","107821249936451679018","https://www.google.com/maps/contrib/107821249936451679018/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJdJooweVj7rFyrXXgueCQGMzw6muqJgvuEc7WS7Ms0XoJaOw=w36-h36-p-rp-mo-br100",0,2,1,"3 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tSVWFtTklUVW94TVV4MlJWSkliRlJYTkdJelFsRRAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"I received root canal treatment. At two other clinics, I was told that the only option was to get an implant, but here they took their time and treated me thoroughly, and I am now fully cured. In Thailand, they push for implants right away, but this isn't the case here, and I think they are a conscientious clinic.","・テツヤ","107659471438630403833","https://www.google.com/maps/contrib/107659471438630403833/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ77LSME9oSX2VknFZsi_49izlcsoA_SHRxwPTlRvweSzYG_w=w36-h36-p-rp-mo-ba12-br100",1,42,3,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2s1eWNIaDNVbkY1WWpsR1NGTkhNa1ZHV0ZJMGJGRRAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"","きふ","103587296857174965153","https://www.google.com/maps/contrib/103587296857174965153/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKSY2vSyWtUPJbLMpSfCdrT24V5k59hMTcJtTik107H6yzYYg=w36-h36-p-rp-mo-br100",0,0,0,"6 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2twZlVHSklNVEp5TFhsb1RGUkRSVEJJZURrMWIyYxAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"The clinic director is wonderful and trustworthy. They checked on my pain regularly, and I felt completely at ease during treatment. The male receptionist was also perfect. I think this is a rare clinic, especially for Japanese patients.","masa","116567964720149017951","https://www.google.com/maps/contrib/116567964720149017951/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUJnAfxrcsngqMFCtrC4nHOQZYGxD4Y1FvJjSNtJGbdd3dbo_Vh=w36-h36-p-rp-mo-ba12-br100",1,625,952,"6 months ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTUNBNW91VVFBEAE","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"The airflow is very good.","Opas Supakpong","110790513703034720361","https://www.google.com/maps/contrib/110790513703034720361/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI9mAe5zcE_0i2gVdCwjOdSgccvegQmKaz1iabIc7PxmtYB=w36-h36-p-rp-mo-br100",0,3,2,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUNfakl2cXBRRRAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"The teachers and staff are all very kind and polite, so I feel at ease attending. I also really appreciate being able to make reservations and consultations via LINE!","pan melon","107988021181619268403","https://www.google.com/maps/contrib/107988021181619268403/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKFakOAQvmV-6w3ZFI3P9cxkbgb_sEgBjz2rU2UeFlml3BQzQ=w36-h36-p-rp-mo-br100",0,2,0,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURma3JTc0tREAE","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"The transportation is good and I felt at ease knowing that Japanese is spoken at the whitening clinic.","見樹","102747615637560538269","https://www.google.com/maps/contrib/102747615637560538269/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ92N41Y8YBx19OGadUDRrUC0AAQ0iwCle5YkdN_C9O4MlOSw=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSUN2X1kzQzVRRRAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"I recently had root canal treatment and wisdom tooth extraction. Other dentists refused to treat me, but JP Green Dental Clinic was very kind and helpful. Everything from the examination to the treatment went smoothly and reassuringly. Thanks to them, I was able to avoid losing my precious tooth. Thank you very much.","T S","112679230276323488618","https://www.google.com/maps/contrib/112679230276323488618/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUclepNW1fjqQa9-egQC4evoD8gtDAqBgJgRabbaORYTSZPvuAO=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSURQbzY3SlFREAE","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"The other day, I had implant treatment done by Dr. Atipan at JP Green Dental Clinic.
The doctor was very polite and kind, and he explained everything in detail before and during the treatment, so I was able to receive treatment with complete peace of mind. I felt almost no pain during the treatment, and was amazed at how skillfully the doctor worked.
The overall atmosphere of the clinic was also clean and calm, and the staff were all kind and warm. I would highly recommend Dr. Atipan and JP Green Dental Clinic to anyone considering implant treatment! ❤️❤️😊","สุชานันท์ ทองสุข","111035119412910495462","https://www.google.com/maps/contrib/111035119412910495462/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVlC0Uqo-kITPpDzkyGfCvbqrRytLqpch3ASUsV20UwKZOKEN4=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURQbzhLSDFRRRAB","0x30e29ff1de2f3583:0x3b831b3f66f7354c","ＪＰグリーン デンタルクリニック",5,"I recently visited JP Green Dental Clinic for a teeth spa and whitening treatment, and it was an amazing experience!

The staff were incredibly professional and friendly, making me feel comfortable throughout the entire process. The teeth spa left my teeth feeling super clean and refreshed, while the whitening treatment brightened my smile beyond my expectations.

The clinic’s environment is clean, modern, and very relaxing. I highly recommend this place to anyone looking for top-notch dental care and aesthetic treatments. Thank you, JP Green Dental Clinic, for the fantastic service!","ชนัดดา สมานวรกิจ","109311194523189028609","https://www.google.com/maps/contrib/109311194523189028609/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJTc8n5sWhn0yTKv_fJi64xI6zAOH880NwkHfqCUx3Y9aDWpw=w36-h36-p-rp-mo-br100",0,10,5,"a year ago","","newest"
