"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT21kdmRUbDZaMDFoTjA1NFIwaHhka0pXT1hsRFJHYxAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",1,"The dentist's name is Jidapha Suwannabut.
She spent an hour and a half filling a single tooth and used excessive force, pulling at the lip of the dental team member.","alongkon laochatriyarat","110184989313804941765","https://www.google.com/maps/contrib/110184989313804941765/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX24dxDf-6YZ_g10vRo3ZMfA_grpy_0YtyjpNWs--gy18lfZvDh=w36-h36-p-rp-mo-br100",0,0,0,"2 days ago","The dentist's name is Jidapha Suwannabut.
She spent an hour and a half filling a single tooth and used excessive force, pulling at the lip of the dental team member.","newest"
"Ci9DQUlRQUNvZENodHljRjlvT214d1l6WmtWMm94TUhSS2VFeHNSVUp5T1VKTU9WRRAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"","Kooky Chamapalin","104973639640532508894","https://www.google.com/maps/contrib/104973639640532508894/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIhG6FGf-j__UvSPc14F4UrQnTUnJt-mJMP8THBd1VGAkYOGQ=w36-h36-p-rp-mo-br100",0,0,0,"3 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT205QlkzRjJjbmsxYnpaZmRFOU9TSFJEYVU1aGJtYxAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",3,"I used to get my teeth cleaned here regularly. I went to another place for a short time, but then came back for another cleaning.
-The staff service was as good as before.
-As usual, the dentist will start by saying there's a lot of tartar to justify the higher rate. However, the cleaning and polishing only takes about 20-25 minutes, no more than that.
-I usually get my teeth cleaned every year. This time it's only been 8 months, and I got the rate of 1500 + 150.","PNM","109214210220102518759","https://www.google.com/maps/contrib/109214210220102518759/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVnlsySBhxebrmzBwbhZYKCO0Ap3R3WOeDcxi4qJxwjVMD1TFE1=w36-h36-p-rp-mo-br100",0,2,0,"5 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25KNVprRjBSVVJsVWw5dFRGaGZWSEo1WTJWWFUwRRAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"I looked at many dental clinics before deciding to come here because a friend called and convinced me 😂 It was the right decision because the dentist was very gentle, explained the procedure and pricing clearly, the staff were friendly, and the wait time wasn't long. Good job! …","Boom","118325614963278786856","https://www.google.com/maps/contrib/118325614963278786856/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXWVUsYLM7-V0WRmGzkG1ZSmEKCV2TgEVT7oRVwTy1mDpLITAU=w36-h36-p-rp-mo-br100",0,3,0,"a week ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT205SVZFbHBWVlJsWXpKTmJEWldlVzV0TlU5UExYYxAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"Easy to get to, parking available. Dr. Charin is lovely and kind. Follow the doctor's recommendations!","Idea itsara","103726080740546370315","https://www.google.com/maps/contrib/103726080740546370315/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVPF8V-1Z58KM2x_H98AwZEGt9XDuN4L-jl5yOMgNXTU1cNsCHr=w36-h36-p-rp-mo-br100",0,10,7,"2 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xsVGNqVXlhVXRTVHpRM1MzZzVaRFIwTlZsQldGRRAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"","Thanakrit'Ken","103122473059948912551","https://www.google.com/maps/contrib/103122473059948912551/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUp-V9gUcs5MQ1h8OkyHEBlxABMPCRuZij_yk5NTnEbkyC6C_Cr=w36-h36-p-rp-mo-br100",0,0,0,"2 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xrM1UxQnRTbFZ3U0RNdFJURjVUbFpSTW1kbGFYYxAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",4,"The doctor is lovely and the work is of high quality.","WiiPark","105312602023026748248","https://www.google.com/maps/contrib/105312602023026748248/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKmOVyuDYHtVpVDLk2rY44rAJ8ZD4NETU9OinpBiQI_BZkTOg=w36-h36-p-rp-mo-br100",0,3,14,"2 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21aVGJrTXlWRVV4Yld3MFQxWmpkVGh5ZVZWU1ZrRRAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"","menud chommanad","101870972677538356977","https://www.google.com/maps/contrib/101870972677538356977/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXgVF4lCmsoAkvFegeQZM_1pi2Adj-9qjiRfuclJx-HEKbAi-uP=w36-h36-p-rp-mo-br100",0,4,0,"2 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25SRmVHbFFTMGw1VkV0MWMxODVXRzFGY0hkS2JWRRAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"The doctor and staff were very caring and lovely.","Thathinun T.","109884109023664454027","https://www.google.com/maps/contrib/109884109023664454027/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWq3LKXR3m9f8R8kZn_3aCJyRPyjORGxu0vUwPigfluBrx5Z4KB=w36-h36-p-rp-mo-br100",0,7,10,"2 weeks ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2tjdE9GaEZRbDltTkhCdVZYbDJhWEIwUWt0MGNsRRAB","0x30e2a1b8bd6e6f29:0x718173a2753a75a1","Smile Gallery Dental Clinic Udomsuk",5,"Getting dental work done here is painless.","rattana Jariyanorasead","103565356111636192561","https://www.google.com/maps/contrib/103565356111636192561/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ3tXlv2OXnvJ2TWEx-45jl8vB9BNwdMX8Ni9u1-4jhMv_uVA=w36-h36-p-rp-mo-br100",0,6,12,"2 weeks ago","","newest"
