"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2pCd1YwMVJRVlpIYTNoNFZrMXVabWhWZGxCcWNVRRAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",2,"The reception staff seemed unwilling to provide service.
The doctor's assistant made a displeased face at the patient.","Supa Pon","100479590012645451856","https://www.google.com/maps/contrib/100479590012645451856/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ53sBVqfCMqqFZTIN_VIUvw7uVVUYCmZBalcUlTgKH0r8a2Q=w36-h36-p-rp-mo-br100",0,6,0,"Edited 2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT214cmJVVjJkVXRCVFdSMmEzRnRTVjlhZFdkWE5VRRAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"The service was good.","จินตนา นินธิราช","100983503289391846468","https://www.google.com/maps/contrib/100983503289391846468/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLhdMr8bWvnAz_IELGOu-Wz8HrnjSezpcwVZuNI5bVx60LynA=w36-h36-p-rp-mo-br100",0,1,0,"3 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2pSaWVrRnpTaTE1TURWR00zZFJSa2RMYTBkYVkyYxAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"The doctor provided excellent and very fast service.","i Chill shop","106094886828728569708","https://www.google.com/maps/contrib/106094886828728569708/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXxsrQzH9aKEHheBjKj0wVAij0VU2EJ6iw3AxUs4hdTXbHvY2k=w36-h36-p-rp-mo-br100",0,1,0,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xWb1lXcElZa1ZIWm5wdk4wZzRNMDV1VjB0NE5XYxAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"Very good!","สมร อ่องเล็ก","104607070187652983888","https://www.google.com/maps/contrib/104607070187652983888/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX9WwRd8afqdhtthOxvAvxwXKkstx4VLHwMra-zBenf_4HIBfzJ=w36-h36-p-rp-mo-br100",0,1,0,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25Wd1psVlFPWG8wYldsRWMyOW1lbGxMV1ZsZlIwRRAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"The doctor is kind, and the counter staff are lovely and speak very nicely.","Mobile Plus","100658501160060538915","https://www.google.com/maps/contrib/100658501160060538915/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKOJp9JSHEA-WbfBIVXUKb860r-4EMiWaYHQBt12OfktxJTFg=w36-h36-p-rp-mo-br100",0,1,0,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xJMFkxQndhV0ZvVFdoUk9XUlhSbkppYkZvMmNrRRAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"The doctor was very gentle. I can claim reimbursement from social security.","Gots","103669694232570020479","https://www.google.com/maps/contrib/103669694232570020479/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWMw4t2W76cCfhdGyOhUAd3wt7MHqMSuXyiMct9wdr5Kx6XVXsz=w36-h36-p-rp-mo-br100",0,8,1,"5 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xSV05rcDFOMjVxTFd4dFVsRXRZMFpUYTBwTlJHYxAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"My first visit, using my universal healthcare card, was excellent. The place was very clean, the service was great, and the doctor and staff were kind. I was very impressed.","Wanna fahh","117042730278991378430","https://www.google.com/maps/contrib/117042730278991378430/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVz7YbavyZorYV3_shg23gDNjF2F6bvnjweiQQbEBkuNBXW348=w36-h36-p-rp-mo-br100",0,2,7,"5 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2twclFYUllaMXBVVEhRM2MwMXFjMFV3YlVkdWRIYxAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"","Nattapat Bompsike","108403047183796692467","https://www.google.com/maps/contrib/108403047183796692467/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV4coSU9Rd5dGXgYOSBk2PlZZvNQm6UmcX2GW5QF3CFx61LyRY=w36-h36-p-rp-mo-br100",0,0,0,"5 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21WSFVVSlRNWFJyVDJacE1VODFiRFJ0V2kxc1puYxAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",4,"","Phusit S. No.4","103287924394522856917","https://www.google.com/maps/contrib/103287924394522856917/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXG5KZTDNEA1THMbXWv9WhjB4CSUQkLghH91Rqkny1FxcsdT8c=w36-h36-p-rp-mo-br100",0,0,0,"5 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2kxWFdVcHFORmRVYTNwYU0yMU1ZbkZ5UkhwbU5uYxAB","0x311d5f6f9be2480f:0x27a928e220d19bbf","คลินิกมังกรทันตกรรม",5,"","Pavinee Srisakulvoratai","100988682067738757538","https://www.google.com/maps/contrib/100988682067738757538/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJa4-i3pXBCxEdCTccgZ01lxEmZ9E_VWpPD3R7_6jbxFGWCXQ=w36-h36-p-rp-mo-br100",0,0,0,"5 months ago","","newest"
