"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xnMlJIQTJMVVpUTVZwSWFIZzBlV3BwZFRGRVoyYxAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"Me, my sister and daughter has used their service. The Doctor was good and explain what he is going to do.  Overall price was reasanable and service also good.","Aditi Malik","100924586957511204190","https://www.google.com/maps/contrib/100924586957511204190/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVHMF9ZFZe3zG1bMjPr6YFw8TIzrXjUdeQqCaNQdm1PRIcpKhSVcA=w36-h36-p-rp-mo-ba12-br100",1,62,148,"5 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURBdW9XczFRRRAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",1,"Very slow - our appointment for a one-year old was delayed by over 30 minutes. This is not good for small children.","N P","108276955800050734069","https://www.google.com/maps/contrib/108276955800050734069/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLheq3QMYeW7cDituMtpdjrxPsIX8qAFNXR8Mk2187mIKg6SQ=w36-h36-p-rp-mo-br100",0,3,1,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNNOTRyY2xRRRAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"Friendly staffs and Doctor. Parking available.","Joohn Than","117658711981461811128","https://www.google.com/maps/contrib/117658711981461811128/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX-V7jEU3gXyYAWbtELSW3K_TWqIAbgr_trJN6lbLgp5LhHNsVZ=w36-h36-p-rp-mo-ba12-br100",1,162,691,"6 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t0c00xTkJjbVJ3Y21WWlpHZzJjMlJmYjFSZlduYxAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"I brought my child to get a filling from the pediatric dentist. The dentist was kind, quick, and very gentle. My child didn't even have time to fuss before the dentist finished. My child was very surprised and said it was quick, which meant he didn't have to be uncomfortable for long. I'm glad my child liked it.","I am Happy","101497264189481882686","https://www.google.com/maps/contrib/101497264189481882686/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXoL3LA1arbf1NmG_9z8ZwwSj84cs8BFtZseCaGJEtoQz2Z8tNl=w36-h36-p-rp-mo-ba12-br100",1,460,4285,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xGblZHdFRPRWhqWlU4d1JXRnFTa1ZvUVV0U2RWRRAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"The clinic is clean, the parking lot is spacious, the queue management is good so there's no long wait, and the doctor is very gentle.","Kingkan Anantarudee","114437173195802525931","https://www.google.com/maps/contrib/114437173195802525931/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV8pOEie2x81W6zAyLuz9QDfLSp-c3U3KwFglwt2gljaH_l5a5lsA=w36-h36-p-rp-mo-ba12-br100",1,11,30,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25Od1gxZHdPRlo2TjA0eGRUVmFVbXRUZG1Nek9IYxAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"The clinic is very clean. We've been using their services since the beginning.
The doctor is lovely and very knowledgeable. Very friendly.
It's very clean and meets high standards.","pornsak jen","116652916842018699771","https://www.google.com/maps/contrib/116652916842018699771/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLM30QH6j16OfT3-fu5alynPOcPONiuugPr0vPdWOm3XOkHjw=w36-h36-p-rp-mo-br100",0,7,0,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25odlFtNXVXbll3UzJodU5EbHBaa3BGU1hSSVVrRRAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"The clinic is clean, the equipment is modern, the doctor is lovely and explains every step of the procedure. Parking is convenient.","Sumeth Anan","107702697699295437193","https://www.google.com/maps/contrib/107702697699295437193/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWFQvMLTTH6l5YG3Y8D145gUktX80ChybhoyQJCshNpbkrxdwI=w36-h36-p-rp-mo-br100",0,10,4,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25WcVVWcElja3RxT1dKRkxXTm9Sa3cyUVhBNVdtYxAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",1,"The price is higher than usual, going from 1,xxx to 2,5xx.","Nuttapon Sangjumpa","110059147366699746599","https://www.google.com/maps/contrib/110059147366699746599/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUBuhJ1kIT3s_CtRKDPWmjMTv3kR2yzGth9b13dRCYxZvdmfVn-bw=w36-h36-p-rp-mo-ba12-br100",1,58,127,"4 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURmeXUzSWlBRRAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"The clinic is clean and spacious, and all the staff are very helpful. Dr. Thitiporn is very gentle; the tartar removal was painless and she kept asking if I was in pain. She also gave great advice about my teeth. I was very impressed.","Supakarn B","107612802501257839473","https://www.google.com/maps/contrib/107612802501257839473/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWQRXmPY5Vpm3Kn3gF1kWkuaZWzgCfTr8KicQ5aQL1fi3dOeF8=w36-h36-p-rp-mo-br100",0,10,3,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUM5LVlpbW1RRRAB","0x311d5fef4e7a99f1:0x5aa3ac3999d4f88","Jendham Dental Clinic",5,"The nurses and doctors provided excellent service.
They were friendly and helpful. I called to make an appointment one day in advance, so I didn't have to wait. It was great.","Nutchomon Puomanee","100473995640628405820","https://www.google.com/maps/contrib/100473995640628405820/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVmGaADKk5bQTv7sYd-y0tZ90omHtYVxBCu_1ZL4m1DBmaEw57X=w36-h36-p-rp-mo-br100",0,2,0,"2 years ago","","relevant"
