"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnSUNmdXNLb3d3RRAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"The clinic is clean, and the doctor and staff are very kind and provide excellent service.","Jiranan Anantang","111538757882255193136","https://www.google.com/maps/contrib/111538757882255193136/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJLTjDI_41eZPxb0zLJHzS7rh5O2Ar1zyIwl0Sl83rjyyG1-A=w36-h36-p-rp-mo-br100",0,4,0,"Edited a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21FdFkwWXlSMFpQYkdkS01YRjBPVkZUY21oZmNtYxAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",1,"I had a very negative experience getting a filling at this clinic. I felt completely distrustful during the procedure. It started with the dentist giving an assistant a small X-ray; the first attempt was incomplete. A second assistant did it, but didn't show me the film or explain the situation. They just said the cavity was deep, almost reaching the nerve, and proceeded with the filling. However, during the procedure, the assistant didn't properly suction my saliva, and something happened – I was shocked and scared. About five days later, I experienced strange pain and sensitivity, so I went back to the dentist to have my bite adjusted. The dentist explained that pain is normal due to the proximity to the nerve and would last about two weeks. I understood this, and the dentist adjusted my bite, but I asked to see the X-ray. They insisted they had already shown me and explained it, but I didn't want to argue, so I asked for a second explanation. Most importantly, I believe dental clinics should prioritize cleanliness and sterilization. During my treatment, the clinic door was left wide open, allowing people waiting outside to see everything. I felt unsure about the hygiene standards. I'm completely put off by this clinic.","lek mini","100035075678344176854","https://www.google.com/maps/contrib/100035075678344176854/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIvYaAreMhvzlAKvXmdVQRs-AM3i4fGHFNFbR59cwCRO4ZPxA=w36-h36-p-rp-mo-br100",0,3,1,"2 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21wVWQxZGplRU5rY0c0d1oybE5kbXgxYkdaNVNVRRAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"The doctor was polite and gave good advice. The place was clean. I highly recommend coming here.","Mathumit Ditcharoen","109969806204528087479","https://www.google.com/maps/contrib/109969806204528087479/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLHP8iAxzLKgy4ndHVV4ks2lHaxUmx-K-dykzncGfKL_1osNw=w36-h36-p-rp-mo-br100",0,1,1,"8 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21KdGNrNXdkR2h3WDAxQlp6QkNla1JhTXpCU01GRRAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"All the staff provided excellent service. The dentist was very quick and efficient, with a gentle touch. The initial assessment was excellent. The details were clear and accurate, including an estimated cost and a plan for braces.
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️","Wanisara T","113384256116301631858","https://www.google.com/maps/contrib/113384256116301631858/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVISknA7w_xXKP2owHZCbPT3R3KAIYipf7w_egLe_IWiMAT575n=w36-h36-p-rp-mo-br100",0,1,0,"8 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2t0d1VreEhPSFZZTjB4Q1RVazRkbXQxVTJOM1UzYxAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"","Nuttajate","102381702891124581634","https://www.google.com/maps/contrib/102381702891124581634/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIS5w6Ay71gzM3ZgpL2exYShNrdoF5pWx5xGN_J1uTl0rHd8Q=w36-h36-p-rp-mo-br100",0,0,0,"8 months ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnTUNJX2JEZGlnRRAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"I got 8 fillings done. The price was very reasonable, not too expensive. The dentist was very gentle. I highly recommend this place to anyone who needs dental work done!","cream kts","108066375603934593608","https://www.google.com/maps/contrib/108066375603934593608/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI3K9WbLf_ErP3VxMONPPM7SMsIaMECtlQ-bxyOYOLB9EcuAg=w36-h36-p-rp-mo-br100",0,4,1,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTUR3MGJ5UFZ3EAE","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"The staff provided excellent service, and the doctor who treated me was very skilled.","Shotaro Nbc","101123677310775193173","https://www.google.com/maps/contrib/101123677310775193173/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLhP-Dse-CPvFAm0k7Ms_RsuCtaMyvzSZ3xxIt7qfzrtC_Q0w=w36-h36-p-rp-mo-br100",0,2,1,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnTUN3M0xyWnpRRRAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"","GODSPEED INTERNATIONAL","103933049206045838518","https://www.google.com/maps/contrib/103933049206045838518/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKWA_LMmalUvURxXrHazATInuwrkyGZXzm7mOIyRk_wmNtMEA=w36-h36-p-rp-mo-ba12-br100",1,7,23,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnTURRNjdxUUtnEAE","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"The doctor was incredibly gentle. The best!","artaetaya buangern","113641267842594538155","https://www.google.com/maps/contrib/113641267842594538155/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWhkZT6WJ2zcTATg7INIbueVayBULB3-YjH16f-34OJmUw00qLw=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnTURRM1ozdHZnRRAB","0x311d61228071f74b:0x5a1ca6a21f65e0e1","ND Dental Home ศรีนครินทร์ 40 | จัดฟัน วีเนียร์ รากเทียม ใกล้ฉัน | เริ่มต้น 899.-",5,"The clinic is clean, the service is good, and the doctor is attentive and caring.","Aom Kater","107259938847179795320","https://www.google.com/maps/contrib/107259938847179795320/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVeJ0kPp-Q89uEw4ld8TOwNCLPG4723WJwpLbXbrCjnHerXtmY=w36-h36-p-rp-mo-br100",0,10,5,"a year ago","","newest"
