"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2twNVNGZFNlazk0VVdOWVpFWk9UbVE1YWt0UVdGRRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"To The Moon is the best dental clinic in Bangkok. The staff are incredibly friendly, professional, and provide the best dental care.

Every time I am back in Bangkok, I come to get a check up and teeth cleaning. Could not recommend it enough!!","Joseph","118177860224800481141","https://www.google.com/maps/contrib/118177860224800481141/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUSwl3NOEf3T-MPcuZG9wtULdHHr1honU-kimAgzSlVBq3__YEGbw=w36-h36-p-rp-mo-ba12-br100",1,14,27,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25GSWJESnZUbDlrWTNsSGVUUkhlVk5oV2prMWVtYxAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"My first dental clinic in Thailand.
At first I was so nervous but after meeting the staffs and the doctors I felt so comfortable because of their care and explained everything I asked and needed to do everything about my teeth.","Nang Shwe Nu","116703448960358815903","https://www.google.com/maps/contrib/116703448960358815903/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLpotrLNGKyOcb3SpL-MxtS2LwZMQeuWIxYzXe_SKIMat5C2g=w36-h36-p-rp-mo-br100",0,1,1,"10 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25BM1pVRnJNbko2ZEVGVE9GQnRTVWxoY1haTk1WRRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"Great dentist! Very professional, caring, and efficient. I felt completely at ease. Highly recommend.","Rory Ogg","118021387812351705104","https://www.google.com/maps/contrib/118021387812351705104/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUU1heAAdFZNTSVKr87FbvWnBDyfX8bOL1uaiqu_3qAbFtJrA=w36-h36-p-rp-mo-br100",0,1,0,"6 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUR6Mk12QTBBRRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"To the Moon Dental clinic is one of my all time favorites!!!!!
I am Korean traveler. While traveling in Bangkok, my tooth suddenly started hurting,
I was looking for dentists on the internet and happened to visit this dentist.
I am not a doctor, but as someone who has run two hospitals in Korea(My family business), I have the tools to judge customer service, interior design, and everything else with a different insight than the average person.
This dental clinic is cozy,  clean, and has modern equipment.
The representative dentist is very conscientious and considers the patient's point of view, which is hard to find these days. She provides counseling for the patient as if the parents were thinking about their children.
It's a shame it's only five stars. My personal score is 100 stars. I highly recommend travelers like me to go to this dentist for consultation if they have any problems with their teeth in Bangkok.","이성현","116457846569519470698","https://www.google.com/maps/contrib/116457846569519470698/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocInoe4ZxKyzyTjCb5qwQEtAOvIYdaVQ4TTas1T0JjFqD-lyxw=w36-h36-p-rp-mo-ba12-br100",1,8,0,"2 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT201WlZFOTBkWE5NV0ZKQ1oxTXpUa05qWDBNM1ozYxAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"The dentist and staff are kind and patient. The service is very good and price is reasonable as well.","Cherry Phyo","116418199867684350433","https://www.google.com/maps/contrib/116418199867684350433/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKCNEuHYSlrBRkf2UwV19-2Nc_ql7sFEJP_rEr3CiBWXVjdKg=w36-h36-p-rp-mo-br100",0,1,1,"10 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNRcV9IdzNRRRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"good atmosphere have parking and nice service","Sora","108354025231375350491","https://www.google.com/maps/contrib/108354025231375350491/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV1mS3RiU0Vvqlb_BSxmkUsDc5zzYNH5wYw_xXP35QVfBA4nKVn=w36-h36-p-rp-mo-ba12-br100",1,14,25,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNRdjVPWDF3RRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"Professional and friendly doctor, very convenient.","Nianci Liu","113568002012359053784","https://www.google.com/maps/contrib/113568002012359053784/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWwRPw4T4xD8edXDDC7ebh8SOIcKAuoAJHOoBM7v4jODvtwNVUq=w36-h36-p-rp-mo-ba12-br100",1,27,173,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNZcXFHd2hRRRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"Very clean and welcoming atmosphere. Highly recommended","Sirin SATTHATIPS","115788905414738353657","https://www.google.com/maps/contrib/115788905414738353657/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ5Ob04uIk_d1ueXLQ4LtR8cRS3SJsKALecdEf7AkKcIcTXdw=w36-h36-p-rp-mo-ba12-br100",1,8,3,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2psMFJHUllRbTR5WkdjMFNWVmZhbEpzWkhCRGJGRRAB","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"Great Service, Staff is very polite","Star","114859014575249342401","https://www.google.com/maps/contrib/114859014575249342401/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW0BWxvxcIFk7h_uCjBcBVGoq0dwhdROTldcfsJ6PPx2uudGq-r8g=w36-h36-p-rp-mo-ba12-br100",1,14,61,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNYcllMcEl3EAE","0x311d6178c5184407:0x553ee19f937d97dc","คลินิกทันตกรรมพระจันทร์ยิ้ม - To The Moon Dental Clinic",5,"Recommend this clinic for dental care ka","Tunvarat","100411244126379376261","https://www.google.com/maps/contrib/100411244126379376261/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIy5OOQ4fJZ1jdFMqp6OPca6E6vVzhXnzXVEMyssC_1zbn5rQ=w36-h36-p-rp-mo-br100",0,1,0,"a year ago","","relevant"
