"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnSUNSMWMzbmh3RRAB","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"The dentist is approachable and can speak English. The assistant is very friendly and they always remind me of my appointment ☺️","Karrine Blanche","108627936113519817455","https://www.google.com/maps/contrib/108627936113519817455/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUc6sMKPp_FbhZJENH7EBTmq4fdOQqaHFNtF_q8orSPh-QtTx8Y=w36-h36-p-rp-mo-br100",0,1,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNCbUl6c0hnEAE","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"Very nice and accommodating staffs and doctors! Very good!","Janeen Dale Geroso","111714300212207283942","https://www.google.com/maps/contrib/111714300212207283942/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI_hSeYsD0n0_KRz6NjnaOyJzMV1-q-rq_GztRDUEAZjx9-=w36-h36-p-rp-mo-br100",0,1,0,"Edited 2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNSMWNpX1B3EAE","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"Good","Wacharawalee Chunhomhaul","110602276976119759827","https://www.google.com/maps/contrib/110602276976119759827/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV8w3GG-5pdTAjT-pwrsYEuLLOpjKi8ahUzCy6TICI5MKNAf-dx=w36-h36-p-rp-mo-br100",0,1,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNoNks2Z1N3EAE","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",1,"I've been there many times; the dentist is gentle and does a good job. It's become my regular clinic. However, recently I went for a filling, and the scheduling process was unsatisfactory, even though I called to book an appointment in advance.","กวินธิดา เชาว์ทอง","115123763696264320033","https://www.google.com/maps/contrib/115123763696264320033/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKUEe0-KeSYN3t13MWckIQQ4KTSnzJmVbe76CP7FVQtnYQNfQ=w36-h36-p-rp-mo-br100",0,1,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNqcjViWU93EAE","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"I've received treatment here before. The doctor and staff were very attentive and the prices were very reasonable. 💕 …","sudthida punjana","103458837115185819594","https://www.google.com/maps/contrib/103458837115185819594/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWKm_z_gwaGnU5FYkcUVHedDZ-c2bSYGFnPJlp4YvdT_zDWQS8=w36-h36-p-rp-mo-br100",0,5,7,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUR4ektySnlBRRAB","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"The clinic is clean. The doctor has a gentle touch. Even though I often miss appointments, the doctor and staff never complain. I recommend using the services here.","Thawatchai Sukan","105276523608448824274","https://www.google.com/maps/contrib/105276523608448824274/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVcojW_uh4oirPeP_PwrjNk3Z5NNdN6RPFVqubV4nUgjrlHP6aJ=w36-h36-p-rp-mo-br100",0,1,0,"3 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNoc01fTDVRRRAB","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"The dentist was very gentle. I had four wisdom teeth extracted, and it only hurt for a short time. The clinic is clean. I've been getting dental work done here for two years, and now I'm about to get my braces removed.","ศิริพรรณ์ นรดี","105721989027032526580","https://www.google.com/maps/contrib/105721989027032526580/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJzHEM3KkCkb0_jQ8tXMCqonfRlZmLutR9GZ8-TTCkAdWyktg=w36-h36-p-rp-mo-br100",0,1,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNoLVBfaE93EAE","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"The doctor gave good advice. I came here to get my teeth cleaned (tartar removed).
The receptionist was friendly. Getting a retainer here is also okay; the prices aren't too expensive.","แจ่มนภา ผลผกา","115475302964495622219","https://www.google.com/maps/contrib/115475302964495622219/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW3T9kQa0ANWvdKqOuao9qcSSNrfSRCKrqTxzLDzWs53MeOvj7u=w36-h36-p-rp-mo-br100",0,1,0,"3 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNSLXFXdjVRRRAB","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"The dentist was very gentle. I'm really afraid of dental work, but it didn't hurt at all here. The counter staff were lovely and provided excellent advice and service.","Warisa Yakamploog","109192073139612105358","https://www.google.com/maps/contrib/109192073139612105358/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUjIoDVzilc8Zwm8UCh5VNoicHhJl8jY11_eDQL1mxQh3berMlurg=w36-h36-p-rp-mo-br100",0,4,10,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURwdi1uTUdnEAE","0x311d67794fb7c865:0x2b5506b939c61784","เกรซเดนทัลคลินิกทันตกรรม สาขาร่มเกล้า ทำฟัน จัดฟัน Grace Dental Clinic Romklao",5,"Every time I come, I always meet lovely staff. The dentist is also kind and friendly; you can consult them about your teeth anytime!","import 1","112249796216685647855","https://www.google.com/maps/contrib/112249796216685647855/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUMTlLLHq0ZjzEcIiVc2JL_tk4PA0CXR9IJ91uYnzutB8z9QLSZww=w36-h36-p-rp-mo-br100",0,3,8,"2 years ago","","relevant"
