"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT25RNGFtWTFkazU1UzI1WGNURlVVMEpyUVV4MlpuYxAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"Just been today, for 2 fillings. Made the apt. 4 weeks ago based on the Google reviews. Coming from the UK, we live in a dental desert, where it is impossible to get an apt. I saw the gentleman Dr. who was the most welcoming and friendly dentist I have ever visited. ""The happy dentist"", as he was due a day or 2 off at the weekend.

He filled one cavity and virtually rebuilt another tooth, the Dr. and his assistant were excellent and did a very professional job. In fact he recommended that I make another apt. for a thorough clean before I return home next week, which I have done. If anyone is ever in the Cha-Am / Hua Hin area and needs some dental work doing this is the practice to visit. 6 stars, spot on.","Chris Hull","105646237323115496463","https://www.google.com/maps/contrib/105646237323115496463/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJWDpUIQ58GJTQLA4Lcx7iBWYQRhepgkHRwF-5wl6zmS6kPlw=w36-h36-p-rp-mo-br100",0,4,0,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25sQ2VGaHJRVzVvUm1ORWFXRm5YMFZ4TjA1dFdWRRAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"There are many reasons to give this clinic a 5-star rating, not least of which is their clever word play - “fun” being the Thai word for “teeth” :) I’m the last person to think visiting the dentist constitutes a “fun time” but, seriously, this place has done wonders to dissipate a lifelong neurotic fear of dental work. The receptionist squeezed me in for an emergency procedure — so empathetic, kind and patient over the phone. Dr. Saran treated me with equal care and consideration. In less than half an hour I was relieved of my pain, x-rayed to ensure no lingering issues, and given a clear plan for next steps accounting for travel plans etc. Super professional, super efficient, super affordable. Feeling so fortunate to have found Fun Time! Wish I could give more than 5 stars. Thank youuuuu!

Update: I had the opportunity to get a cleaning done by the clinic’s charismatic owner, Dr. James - aka the singing dentist :) okaaay… I will now happily say there IS such a thing as having a Fun Time at the dentist.  Dr. James put me at ease, explained every single procedure, had the gentlest hands, and gave practical oral care advice on practically every tooth I still own. Highest praise for the entire staff including Ja who answers the phone and juggles appointments and doctors’ schedules like a rock star.","Mimi Lee","104208308984888686766","https://www.google.com/maps/contrib/104208308984888686766/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIaG-1TdtodY5bWv0-OZX5d2sZwhJEfeOW2-LLc8jA22Il9_w=w36-h36-p-rp-mo-ba12-br100",1,44,80,"Edited 2 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNfOElULUJ3EAE","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"I was recommended this dentist by a friend of mine . Fun Time dental clinic has reinstalled my faith in dentistry. I cannot sing their praises enough. Dr Norapat has been the best dentist I have ever been treated by. Positive, thorough, knowledgeable,  a great listener and an absolute gentleman. Reception staff are wonderful . His assistant Kulisara wonderful too. Of particular significance to those visiting Thailand who are unable to speak Thai, Mr Norapat's English is excellent and provides great comfort against any potential misunderstandings.
Do not hesitate to give them a call if you need dental treatment.  10 gold stars. Thank you. Thank you. 🙏","Patrick","101348960577456276555","https://www.google.com/maps/contrib/101348960577456276555/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVM_ArabpTVDegR_OJrjOy8yXswQYgTyhH6tot_ImOVmTcligps=w36-h36-p-rp-mo-ba12-br100",1,37,22,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tocGNqUnhRVzFMWjJaNmVuTlhibkF6WVZOQlNIYxAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"I got my tooth cleaning with a very lively doctor. Good procesure like in Europe. The clinic is very clean, smells nice. Everyone was very professional","Gigi Rheintal","114452854831881521152","https://www.google.com/maps/contrib/114452854831881521152/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKkdLppNrhz1C1h3QOdvWDGEs3-rIDN4_YtvuavkmkK_yKJ1Q=w36-h36-p-rp-mo-br100",0,6,3,"6 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTUNJeDctc0FREAE","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"State of the art dentist facility. Staff were very friendly and professional. Dr Guy did an amazing job! He found and diagnosed the problem with my tooth (small crack) that my VA dentist in USA couldn’t figure out for years!

Highly recommend!","Stace Nelson (Bull)","105053560316980812121","https://www.google.com/maps/contrib/105053560316980812121/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWnX3i9nX4iP9rHYT2DOVhkL062cmP9AxnVQxumzXYqT0bQ2Fxs=w36-h36-p-rp-mo-ba12-br100",1,945,3811,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNndG8zWWxRRRAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"I chose this dentistry because it was highest rated on google and when I came here for fillings and crown I wasn’t disappointed one bit. In fact, Doctor Norapat is one of the two best dentists I have ever met. He is gentle, soft spoken, cheerful and extremely polite. His personnel is outstanding…
What was interesting to me was that I’ve had two other crowns put in by two (very expensive) dentists in USA and my mouth was sore for a few of days after that, which I thought was normal. But I swear to you that after each visit here, I didn’t feel any discomfort at all, not after fillings, not after the crown. This to me was very unusual…
So yes, of course I recommend this place. Great quality at a ridiculously affordable price. I only wish I came here years ago.","Ana F","109743615858611059561","https://www.google.com/maps/contrib/109743615858611059561/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWAPpHAMqvIH_uZz0UQfg2rG6j8r76l17ywKU6_cxF8amaolVFD=w36-h36-p-rp-mo-ba12-br100",1,25,20,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNkM3JqenVBRRAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"My husband and I visited for the second time in 6 months today for check ups, clean and polish. We cannot praise Dr Norapat enough. He is not only extremely careful, gentle, competent, and  professional, but also very polite and has excellent English language skills.  We are both around 60 years old and have always looked after our teeth, and for the first time we have found what we can only describe as a perfect dentist, in a very modern, clean clinic with very polite staff. Fair prices too.  Alan and Roy","Annabella Hinds","117809806949465351914","https://www.google.com/maps/contrib/117809806949465351914/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKPaD46iaR5X93WWO4EH7xUSbXuwSjdJ_V6oy2Ser46Lmbjag=w36-h36-p-rp-mo-ba12-br100",1,32,3,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURnd1piajlBRRAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"5 star from me after 4 visits to get all the work done, very professional and friendly and gentle. Many thanks to Dr Gem and Dr Guy. Excellent service. Highly recommended. I would definitely come back when I need to.","Sinan A","115787429103426595742","https://www.google.com/maps/contrib/115787429103426595742/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJzRRAJUc9ssdVmH5in1BpqEFH40kOKnxFrSqJnhmRyqp7ofQ=w36-h36-p-rp-mo-br100",0,8,2,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNqeDktYWdnRRAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"We had a couple great experiences with this dental clinic. The dentist is very thorough—if you’re experiencing pain or seek dental treatment, he will find a solution best for you.

Communication between the staff and dentist was also very smooth. The prices are affordable and the clinic provides a variety of quality services.

I’m happy to return again :)","Octavia Chai","108993176981980900102","https://www.google.com/maps/contrib/108993176981980900102/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocK4OUBrTJNFxoJe80JoB9sNj0WDPpO5hX8XcONoWiGr9R4XHEQ=w36-h36-p-rp-mo-ba12-br100",1,104,339,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUROMkpXOTBBRRAB","0x30fd03ae3cd3e29d:0xee964cda51b6203a","FUN TIME Dental Clinic คลินิกทันตกรรมฟันไทม์",5,"I cracked my tooth a few days ago and they were able to fit me in straight away. I was in and out in 30 minutes and my tooth felt good as new. It was quick and painless and the dentist was fantastic. There was traffic on the way and I messaged the receptionist to say I would be late and they were very understanding. The clinic is very clean and well presented. I would definitely recommend them and will be going back again in the future.","Becca Juytong-Gray","106068181846161617156","https://www.google.com/maps/contrib/106068181846161617156/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWFMCaJ86gqkSvFQ3iv7tb7pi6ZAomsMBcxguGiGV8CIXoQArI=w36-h36-p-rp-mo-br100",0,4,1,"2 years ago","","relevant"
