"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2xWWWNHbGxiR1pOU1VoMGNIVjFkMjlmY1ZGa1dIYxAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"Dr Prasit Iamsurey is very rude and does not care about the patients. He does not say hello or goodbye and has zero interest in the patients. He is clearly just there for his pay check. The service is getting worse and the prices continue go up.
The wait time is also getting longer at each visit. The medication is marked up by a lot. The staff does not speak English and all the nurses are sitting around with their phones. Even the ones in the treatment rooms with their patient and doctor. I will change to Bangkok hospital now, more expensive yes but also a better service.","B H","101414788599821168621","https://www.google.com/maps/contrib/101414788599821168621/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWpnxxZ-zztKeNJLqsLCStc4Qd_qX--EUIOYKPb5yPeQy9Y3bA=w36-h36-p-rp-mo-br100",0,9,0,"5 months ago","","relevant"
"ChdDSUhNMG9nS0VQeTQ4X1d0NHJXdDN3RRAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"I want to tell you about our experience in this clinic. We talked to this doctor, Dr. Praphun Chaisitsanguan. My daughter is 3 years and 10 months old. After we took all the tests. And this ""doctor"" told us that everything is fine, it is psychological stress, given that the temperature is 39, stomach pain and frequent urination. The tests that he received, he said that everything is fine. But this is not so. We pointed out his mistake to him, after which he prescribed two antibiotics - one of which can be taken from the age of 14. He said that this is normal in Thailand. To any questions - the argument ""I have experience"", I have been working as a doctor for 20 years, etc. A doctor who cannot see the number in the tests is either a lack of professionalism, or negligence, or he simply does not care. We talked with him for half an hour so that he would at least delve into the question, to which he asked the question, what education do you have? I am attaching photos of this hero. We paid 6,500 baht for everything. spent 4 hours. left with a very bad feeling. not for nothing the hospital has a rating of 3. overall the staff is good except for this doctor. In addition, he also offered to take a covid test in 2025. After learning that we did not have insurance, he said that he would not offer additional services. I definitely won't come here again","Eugene","117170823458583207427","https://www.google.com/maps/contrib/117170823458583207427/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJIGUlqm5or1QMIcrVn2AUNu8MKz-L0SXPvyt9ZKukJmnOS1Bg=w36-h36-p-rp-mo-ba12-br100",1,17,11,"a year ago","I want to tell you about our experience in this clinic. We talked to this doctor, Dr. Praphun Chaisitsanguan. My daughter is 3 years and 10 months old. After we took all the tests. And this ""doctor"" told us that everything is fine, it is psychological stress, given that the temperature is 39, stomach pain and frequent urination. The tests that he received, he said that everything is fine. But this is not so. We pointed out his mistake to him, after which he prescribed two antibiotics - one of which can be taken from the age of 14. He said that this is normal in Thailand. To any questions - the argument ""I have experience"", I have been working as a doctor for 20 years, etc. A doctor who cannot see the number in the tests is either a lack of professionalism, or negligence, or he simply does not care. We talked with him for half an hour so that he would at least delve into the question, to which he asked the question, what education do you have? I am attaching photos of this hero. We paid 6,500 baht for everything. spent 4 hours. left with a very bad feeling. not for nothing the hospital has a rating of 3. overall the staff is good except for this doctor. In addition, he also offered to take a covid test in 2025. After learning that we did not have insurance, he said that he would not offer additional services. I definitely won't come here again","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tGdVNYbFdWMjA1VUc5b1EycFZNMVk0V2pWMVVYYxAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"Terrible hospital now. It used to be good but now it is just a money machine. Dr. Prasit Iamsurey is extremely rude and is only there for his pay check. This is a very expensive private hospital but the sercvice is terrible. The waiting time is very long now and the nurses do not speak a word of English. I shall switch to Bangkok hospital. I prefer to pay more and get a better service.","Butterfly","116245159987531901873","https://www.google.com/maps/contrib/116245159987531901873/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXtgo3YeNC1FPRQMqBj9hBIMNaNIdHo9oqRkqVo1xZ2phEUxoXJ=w36-h36-p-rp-mo-ba12-br100",1,33,6,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tGVVZEVnhOa2gzTkVKWGVHZE9YMmhwV21kYWNtYxAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"Sorry for the bad review. But I came here to get a radiologist findings report of a foot Xray. I did not get that!
I got Xray dose and charged, but the ‘radiologist report’ doesn’t say anything of the findings - at all!  I’m a RN. I came here to have right foot xray and I was told by my doctor who sent me here that my xray will be read by radiologist and report of radiologists findings. See “Radiologist report” that only says, patient is here for suspected fracture. Correlated with clinical context”  IT SAYS NOTHING OF WHAT IS SEEN IN THE XRAY. When checking in and in cray I made sure it would be read by radiologist and I would get a written report. Radiologist can frequently see things much better with their tools and experience than a regular physician can read an x-ray. This is why I came here and paid the money and took the x-ray dose but now I will have to go get the order again and go to a different hospital and repeat x-ray dose and repeat expense. The x-ray is not because I have suspected fracture from an injury two months ago. It’s because I’m having increased pain and the doctor suggested an x-ray first to see if we saw anything in there which may require a radiologist ‘fine tooth comb’ reading capability.

A radiologist report for an X-ray is a detailed document that describes the findings of the imaging test, including a summary of the images and the radiologist's interpretation. It typically includes sections for medical history, technique, and findings, and concludes with an ""impression"" or a summary of the most important observations and potential next steps. This report is sent to the requesting doctor, who will then explain the results to you.
As it turned out from a MRI after that X-ray, I had bone marrow edema and at risk for stress fracture. Then while wearing the orthopedic boot even, I did have a stress fracture of the foot just from walking while wearing the orthopedic boot even. I wish I had my X-Ray read and interpreted by a radiologist as I specifically asked and paid for!","ian panton","110532380557913943931","https://www.google.com/maps/contrib/110532380557913943931/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX5KVNNYypNX376oz7aLmkIwpj9eS_fKGf_1P-MAKQxPpaKGUsThQ=w36-h36-p-rp-mo-ba12-br100",1,28,29,"Edited 4 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNIc3Yzc0N3EAE","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"Simply terrible service. The person is sick, and the workers don't care! I do not recommend this hospital to anyone. They accepted, prescribed medications, but do not give them. They are waiting for a response from the insurance company and marinating people.","Татьяна Косьмина","111131108620666103142","https://www.google.com/maps/contrib/111131108620666103142/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWRv-4JVBumjcUMGczoBRNurlgJjHJbZT0eypHBb2K-I3FuDak=w36-h36-p-rp-mo-ba12-br100",1,24,85,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNBaWR2MG9RRRAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",2,"My experience was very positive until now. I have seen a neurologist for my feet. He was to cancel one day because of an emergency.  But so easy to get an appointment. In 2 days in France you can wait 6 months to one year.

December 2024 :
Then a scooter accident who requiring daily care for 5 weeks. I wait 5 minutes in the waiting room and I am taken right away every days. The last time I went to the emergency room in France and waited 12 hours I went at 2am!

I revised my evaluation from 5 to 2.

I had to get an x-ray for my physiotherapist (march 2025)

The x-ray machine is very recent, it was manufactured in August 2024. The results were given on a CD, but like many people, I don't have anything to read a CD, so the images were sent by email, but I don't have a written report of the analysis of the x-rays like I could see in France. This is the good point.

On Monday i ask for the price, i was told that I must see first a doctor 120 baths and 450 for the radio. Finally I pay 2800 which is very far from the rates advanced.

800 for doctor, seen twIce (200 at bewell clinic fir my driving licence). 1800 for x-ray but it could be justify because they did 4 (450*4=1800) plus some others charges not specified.

I didn't get meds at hospital because price was 1400 baths. I wanted to compare and I did right. I buy that for only 660 baths at yodphon pharmacy Soi 88. And with the generic made in Thaïlande, it would have been only 320 baths.

Still a price problem with san Paulo hospital.  Supposed to cost 15 000 for a gastroscopy but finally charged 21 0000 without justification even if I didn't need full sedation witch was supposed to cost less.","Frédéric Legendre","101800576965131127824","https://www.google.com/maps/contrib/101800576965131127824/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLfz1oP5FK2ISqFF30T7416j8dgfL81zGMhktusRs44SQbTB9o=w36-h36-p-rp-mo-ba12-br100",1,64,14,"Edited 10 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2psNVprWk1kVkZ1Tkc5RVJtMHpNMVU1VVV4cWVrRRAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",5,"My family and I have had the opportunity to use the hospital’s services many times both when I was unwell and when my wife or  children were sick. The doctors, nurses, and all staff members have always provided excellent service, offering helpful advice and assistance until my family and I fully recovered each time.

In particular, the pediatrics department and Dr. Praphan have provided outstanding care and guidance. The nurses, food service staff, and room attendants have always been cheerful and friendly. Whenever I fall ill, San Paolo Hospital is always my first choice.","Alex Miracle","111259968964151505555","https://www.google.com/maps/contrib/111259968964151505555/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVUIVPdOYu4s1QxPeapCak13fQQ6gdPqluJAnLrIeEBukAf6SE=w36-h36-p-rp-mo-br100",0,4,0,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2s5WWRqRmpVV0ZoZW1ZMVdXUjJTMUo2Ymt4emQzYxAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",5,"Went for the silver age health check. Very efficient process and everyone was very friendly and professional. I received a nice booklet with my results and reviewed with a very nice doctor afterwards. The whole process took about 2 hours. I was very impressed by the number of nurses and staff. Much better staffed than American hospitals.","Larry Readout","108416370409673932899","https://www.google.com/maps/contrib/108416370409673932899/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXLdoWcG1oZIWSX7PHfYracJqDUGOfYNmv6qXwhCVFHc2e0DFuD=w36-h36-p-rp-mo-ba12-br100",1,15,0,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xjMFNXaE1WM0ZIWWpWNE5HSmFZMlE1VHpKTVlrRRAB","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"Absolutely Appalling Experience - Avoid San Paolo Hospital Hua Hin.

We had a deeply disappointing and frustrating experience at San Paolo Hospital after our daughter had a fall and injured her wrist.
When we initially called, we clearly explained her symptoms. We were assured that a pediatric orthopedistwas available and that we could come any time, with clear information about X-ray and consultation costs.

Reality turned out to be a completely different story:
1. We were deceived. The specialist we were told would be there simply wasn't. Instead, a general practice doctor handled the case and took the most unprofessional route imaginable: he consulted the bone doctor via WhatsApp - yes, WhatsApp! - by sending over the X-rays. This non-direct “consultation” alone cost us 4,500 Baht.
2. The X-ray technician took images of both wrists - even though only one was injured. There was no medical justification for this and it clearly felt like a move to inflate the bill.
3. The doctor’s fee was significantly higher than what we were initially quoted. No transparency, no proper explanation - just a higher charge.
4. After examining the X-ray, the general doctor gave us two dramatic options: surgery (seriously?!) or a cast. Naturally, we opted for a cast -Tomato Split.

The total cost? 14,275 Baht for a minor wrist crack. We were completely stunned. When we asked for a breakdown of the charges, it took nearly 45 minutes for the staff to figure things out due to poor English and a clear lack of competence. Only when the German chief doctor stepped in did things start to make sense - but even he delivered explanations with robotic coldness and a fake smile. Not comforting at all.

Due to visa-related delays, we hadn’t yet sorted medical insurance and were forced to pay out-of-pocket. Our daughter’s birthday was around the corner and we couldn’t delay treatment - but this experience left a bitter taste.

It became painfully clear that the hospital’s goal is to milk as much money as possible, ideally from insurance. Sadly, I now realize this may be part of a wider pattern in modern hospital-insurance dynamics - but I naively hoped that my favorite Thailand would be different. Sadly, not this time.

I try not to generalize - of course, there are doctors with big, non-profit-driven hearts. And here’s the proof: just to compare prices and attitude, after returning from Hua Hin to Chiang Mai, we visited Lanna Hospital for a follow-up to get a dynamic X-ray, bandage change, and a second opinion. The entire process was smooth, professional, compassionate - and it cost us just 900 Baht. But moreover, the new  doctor seemed surprised by the incorrect size of the cast, which didn’t fit the wrist as it should have ??!! No comments here, right?

I strongly advise against using San Paolo Hospital, Hua Hin.
You’ll find neither medical professionalism nor basic human compassion - just inflated costs, misinformation, and a sense that you're just a number on a bill.

Please take good care of your health and stay far away from this place.","Sun Shine","115678959867921352566","https://www.google.com/maps/contrib/115678959867921352566/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUfr1f_GdYmny7d5UAIlC0iDLPBQpAx3s_IbSjjXqj1BkXLPy9b=w36-h36-p-rp-mo-ba12-br100",1,22,29,"10 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNmNnA3X0pBEAE","0x30fdabb040b887b1:0xd441f5ee2e743cf","San Paulo Hospital",1,"Worst Private Hospital Ever
Miss Diagnosis

Didn't really give out any help, I was having a really bad headache and high fever, I asked for blanket they say the gonna get me one and they didn't

I was admitted for 2 nights doctor came in just to talk for a brief second and cannot find any cause to my headache even though I already specified that it might come from stress and the still ignore that and keep prescribe me with antibiotics which didn't help me with any of my condition

While admitted all the nurse and doctor came in and keep asking me if I still have diarrhea or still vomiting, And I never have those condition (I don't really know whos chart they are looking at)

Until I have to ask for stress relief medicine by myself, and after I get that my condition was getting far way better than what I get prescribe by the doctor

ps. i never have migraine or this kind of headache before, my suspicious come from when I take Paracetamol and Ibuprofen and that doesn't help, so I did my own research online and they said it might come from stress

I would suggest anyone who want to get well soon to stay away from this hospital","MicK Vasinrapee","104475853325161192874","https://www.google.com/maps/contrib/104475853325161192874/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWAfnTml6Pj-arcjWmTYJpn-ZYBEkapz-YUXkpEARdzm2BgvzMD=w36-h36-p-rp-mo-ba12-br100",1,20,8,"a year ago","","relevant"
