"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2tGbk5EZHVjSFpKYW5CTFMxZGlTbTFoV0drMVEzYxAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"I came in today for a consultation and received such good advice and care :) The space is very clean and comfortable. I got acupuncture and cupping done & all of it felt amazing! I will be going back routinely 😍 …","Samantha Sweet Skin","117250228231401207998","https://www.google.com/maps/contrib/117250228231401207998/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXYfNnhp0TzIAvrzE_ZO6fDC7MDJH5IvEGu-096YAn_yadfZK_G=w36-h36-p-rp-mo-br100",0,3,13,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT201TmQxcHRWbkpwY0RKYWEwMDNUekZvZG1WTk4yYxAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"I've been suffering from awful neck pain so visited this clinic for some TCM, it's just opposite Macro which wa handy for parking.

I had a warm welcome, it appeared very clean and my practitioner Claire was excellent, friendly, helpful and clearly very experienced. The consultation process was clear and took about ten minutes.

I then received a combination of treatments (I won't confess to know the names of them all), including some kind of muscle rub, cupping, acupuncture and heat treatment.

I left feeling much better and so far the absolutely terrible neck pain I have been experiencing has been eliviated which feels like some kind of miracle considering I've already had two rounds of physio without much change.

I would highly recommend Claire!","Julian Young","112015628539916888200","https://www.google.com/maps/contrib/112015628539916888200/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWBYrVVtndWUXluK4x_cvp_TL41hiY2g-0Jcy0UVVQWbEjKc9Jd5Q=w36-h36-p-rp-mo-ba12-br100",1,47,72,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xsYWIwSlBXSE4wUjJsdGFrTjNZM2RITTFKbmMzYxAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"How is it that we can find things when we're not even searching for them? I quite literally passed by the Piraluna Clinic one afternoon by pure chance. One quick message, followed by a prompt response confirmed my appointment for my TCM consultation.

As they say, there's a first time for everything and this was certainly an excellent place to start a journey in acupuncture. Combined with cupping therapy, there was definitely a noticeable relief from a persistent pain in my left knee following the treatment.

Not only this, I was given some advice on how best to prevent further recurrence of the pain. Of course, prevention being better than cure. However, I also know that I have a strategy to deal with the knee pain if it returns.

I could not have hoped to find a better practitioner in Claire. Incredibly knowledgeable, calm and gentle. More than that though, a thoroughly lovely person with impeccable English. Highly recommended!","Simon","108101463848121284166","https://www.google.com/maps/contrib/108101463848121284166/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUD_yRNj2owPSQgShHiDCtzJE1cQS7U1-6-92cLGhUmLtfHs-55fg=w36-h36-p-rp-mo-ba12-br100",1,22,1,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25kbkxXOXdTVGhGTWxka1MzVnBhemRIT1ZCaVdIYxAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"First time in Piraluna and definitely come back.

I love the technique and the consultation. Therapist understands what is my problem and fix it correctly.

She was very gentle.","Manee Sreekam","103463781016397034950","https://www.google.com/maps/contrib/103463781016397034950/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUZveXQvWNlvzsWmHEIkwhhde9X6cv1o2mJcOH5lUS3kNYeG_8=w36-h36-p-rp-mo-br100",0,3,6,"a week ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2twUk5GQTVhVUpFT0RrME1IZGlWbkJ6WDJacGFrRRAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"I’ve been receiving treatment at this Traditional Chinese Medicine clinic, and I’m truly impressed. The doctor is highly skilled, kind, and very patient. She completed her degree’s training directly in China, which really gives me confidence in her expertise and treatment approach.
My symptoms have improved significantly, and I no longer feel the pain coming back. I’m very satisfied with the care I received and would definitely recommend this clinic.","warunee Chongrak","101069234140704342605","https://www.google.com/maps/contrib/101069234140704342605/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU03sMS1mmQBsYD2lGuy3SS9bvWoWpU3wAOeqOFyTxnWFUJqA49=w36-h36-p-rp-mo-br100",0,2,2,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT201U1YxTktSMWR2ZEVoc1dFUkphVmxvT1VOSWJYYxAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"The practitioner was highly skilled and took the time to carefully assess my neck and shoulder tension before starting the treatment. The acupuncture process was gentle and much more relaxing than I expected. I felt minimal discomfort, and the practitioner explained each step clearly, which helped me feel at ease.","Namfon Paeng","115083884930283015537","https://www.google.com/maps/contrib/115083884930283015537/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV1C4LnXqnhqFRbQ-m_U5z5aoAPoOCEOVzLpvrCXxVuOfJ4eNCv1A=w36-h36-p-rp-mo-br100",0,2,2,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT214RU5XVjZjMmRFYmtSck5EbEhVVVI0TWxad2JrRRAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"My partner and I had our first-ever acupuncture and cupping session at Piraluna, and it was an amazing experience. Our practitioner, Claire, spoke fluent English, which made the consultation clear and reassuring.

The whole experience was very relaxing, and Claire was attentive and thoughtful with both of us. If you’ve been considering cupping or acupuncture but haven’t tried it before, I highly recommend Piraluna.","Ayden Hamilton","103581134410278489565","https://www.google.com/maps/contrib/103581134410278489565/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKRRVauPZ0D6t-2mnMFCG7TNOFYZJM3RQI54QUwdtiXfydMzw=w36-h36-p-rp-mo-br100",0,2,4,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT214RVdYSTFlbVZPZFZnNWJrWmpkbGxuU2xselkxRRAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"Highly recommend this clinic!  Claire was thorough and caring, and gave me some very helpful tips for my overall health. The tea at the end of the appointment was a really nice touch. I hope to be back!","Hayley Swain","118231189746090654848","https://www.google.com/maps/contrib/118231189746090654848/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKsuBUe53O9FO-RSAlkhldT7uO9IrUyoHH88yG_8HJesEEVYg=w36-h36-p-rp-mo-br100",0,4,1,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tZMGFqZEJhRWRDYlV4V1dXVmlPRGQwTkd4ek5tYxAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"Piraluna is very excellent service! Very good consult with friendly staff. It helped me a lot with tension in my muscles that were my bad problem, particularly with my neck, shoulder, and whole back. I get the acupuncture with moxa and finish with a cupping. Worked fabulously for me. Thanks so much! (the pic a bit scary, but it not get any pain at all hahaha) ;)","Levon Groof","103477033773549447764","https://www.google.com/maps/contrib/103477033773549447764/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWK8iSQ4MjH1UXfJNehNffv5lfrPiUZXLvRPLwH9HYKEgS-54X0=w36-h36-p-rp-mo-br100",0,3,2,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21STmNWRnlNMkZCVVZJek9XSnRTRTQwWWxwNWJGRRAB","0x3054f388c04b4ff3:0x6b6961ef38fdc8ca","Piraluna Clinic",5,"I had a wonderful experience with Claire. She has a deep and well-grounded knowledge of the human body. I came to her with a cold, cough, and shoulder pain, and I felt relief very quickly. After the treatment, I felt so much better overall.
Claire is very kind and warm, which made me feel comfortable right away. I can highly recommend her and will definitely come back again in December!","Evelin Noeske","111367794888394151871","https://www.google.com/maps/contrib/111367794888394151871/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKGpym7nnrkcE3_SZ163pF_t4V8S_p5OSmQaWA7a8hZ68vb6w=w36-h36-p-rp-mo-br100",0,1,0,"4 months ago","","relevant"
